subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5fb3e1ecadba8802c0d12fe6	107813	1	practice	z	1	absent	absent	absent	no	absent	1	2000
5fb3e1ecadba8802c0d12fe6	112144	1	practice	z	2	rectangle	local	RVF	yes	present	1	464
5fb3e1ecadba8802c0d12fe6	115297	1	practice	z	3	square	global	LVF	yes	present	1	350
5fb3e1ecadba8802c0d12fe6	118069	1	practice	z	4	rectangle	local	RVF	yes	present	1	524
5fb3e1ecadba8802c0d12fe6	120579	1	practice	z	5	square	global	LVF	yes	present	1	350
5fb3e1ecadba8802c0d12fe6	123010	1	practice	z	6	rectangle	global	RVF	yes	present	1	381
5fb3e1ecadba8802c0d12fe6	125287	1	practice	z	7	rectangle	local	RVF	yes	present	1	340
5fb3e1ecadba8802c0d12fe6	127544	1	practice	z	8	square	local	LVF	yes	present	1	264
5fb3e1ecadba8802c0d12fe6	129885	1	practice	z	9	square	local	LVF	yes	present	1	456
5fb3e1ecadba8802c0d12fe6	132209	1	practice	z	10	rectangle	global	LVF	yes	present	1	231
5fb3e1ecadba8802c0d12fe6	134605	1	practice	z	11	absent	absent	absent	no	present	0	426
5fb3e1ecadba8802c0d12fe6	137196	1	practice	z	12	rectangle	global	LVF	yes	present	1	534
5fb3e1ecadba8802c0d12fe6	140008	1	practice	z	13	absent	absent	absent	no	present	0	746
5fb3e1ecadba8802c0d12fe6	142438	1	practice	z	14	square	global	RVF	yes	present	1	442
5fb3e1ecadba8802c0d12fe6	145047	1	practice	z	15	rectangle	global	RVF	yes	present	1	668
5fb3e1ecadba8802c0d12fe6	149396	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5fb3e1ecadba8802c0d12fe6	155509	2	main	z	1	absent	absent	absent	no	present	0	396
5fb3e1ecadba8802c0d12fe6	157297	2	main	z	2	square	global	RVF	yes	present	1	218
5fb3e1ecadba8802c0d12fe6	158960	2	main	z	3	square	local	LVF	yes	present	1	264
5fb3e1ecadba8802c0d12fe6	160618	2	main	z	4	rectangle	local	RVF	yes	present	1	372
5fb3e1ecadba8802c0d12fe6	163711	2	main	z	5	square	global	RVF	yes	absent	0	2000
5fb3e1ecadba8802c0d12fe6	166777	2	main	z	6	absent	absent	absent	no	absent	1	2000
5fb3e1ecadba8802c0d12fe6	168058	2	main	z	7	rectangle	local	RVF	yes	present	1	362
5fb3e1ecadba8802c0d12fe6	169969	2	main	z	8	absent	absent	absent	no	present	0	490
