subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ff633cda2b5841a81ec5b9a	197203	1	practice	z	1	square	global	LVF	yes	present	1	432
5ff633cda2b5841a81ec5b9a	202854	1	practice	z	2	rectangle	global	RVF	yes	present	1	265
5ff633cda2b5841a81ec5b9a	205555	1	practice	z	3	rectangle	local	RVF	yes	present	1	233
5ff633cda2b5841a81ec5b9a	208086	1	practice	z	4	square	local	LVF	yes	present	1	229
5ff633cda2b5841a81ec5b9a	213378	1	practice	z	5	absent	absent	absent	no	present	0	257
5ff633cda2b5841a81ec5b9a	215795	1	practice	z	6	rectangle	local	RVF	yes	present	1	240
5ff633cda2b5841a81ec5b9a	219145	1	practice	z	7	square	local	LVF	yes	present	1	274
5ff633cda2b5841a81ec5b9a	222440	1	practice	z	8	absent	absent	absent	no	present	0	620
5ff633cda2b5841a81ec5b9a	225245	1	practice	z	9	absent	absent	absent	no	present	0	390
5ff633cda2b5841a81ec5b9a	227772	1	practice	z	10	rectangle	global	LVF	yes	present	1	286
5ff633cda2b5841a81ec5b9a	230571	1	practice	z	11	absent	absent	absent	no	present	0	617
5ff633cda2b5841a81ec5b9a	233101	1	practice	z	12	square	global	LVF	yes	present	1	364
5ff633cda2b5841a81ec5b9a	235781	1	practice	z	13	rectangle	local	RVF	yes	present	1	244
5ff633cda2b5841a81ec5b9a	238581	1	practice	z	14	rectangle	global	RVF	yes	present	1	261
5ff633cda2b5841a81ec5b9a	240871	1	practice	z	15	rectangle	global	LVF	yes	present	1	251
5ff633cda2b5841a81ec5b9a	243441	1	practice	z	16	square	global	RVF	yes	present	1	218
5ff633cda2b5841a81ec5b9a	254566	2	main	z	1	rectangle	local	RVF	yes	present	1	215
5ff633cda2b5841a81ec5b9a	256491	2	main	z	2	absent	absent	absent	no	present	0	257
5ff633cda2b5841a81ec5b9a	258876	2	main	z	3	rectangle	global	LVF	yes	present	1	505
5ff633cda2b5841a81ec5b9a	260918	2	main	z	4	rectangle	global	RVF	yes	present	1	316
5ff633cda2b5841a81ec5b9a	262399	2	main	z	5	square	global	RVF	yes	present	1	283
5ff633cda2b5841a81ec5b9a	264269	2	main	z	6	rectangle	local	LVF	yes	present	1	451
5ff633cda2b5841a81ec5b9a	267700	2	main	z	7	absent	absent	absent	no	absent	1	2000
5ff633cda2b5841a81ec5b9a	269164	2	main	z	8	absent	absent	absent	no	present	0	180
5ff633cda2b5841a81ec5b9a	270995	2	main	z	9	rectangle	global	RVF	yes	present	1	395
5ff633cda2b5841a81ec5b9a	273124	2	main	z	10	square	global	LVF	yes	present	1	357
5ff633cda2b5841a81ec5b9a	274803	2	main	z	11	absent	absent	absent	no	present	0	353
5ff633cda2b5841a81ec5b9a	276880	2	main	z	12	rectangle	global	LVF	yes	present	1	630
5ff633cda2b5841a81ec5b9a	278652	2	main	z	13	square	global	RVF	yes	present	1	385
5ff633cda2b5841a81ec5b9a	282082	2	main	z	14	rectangle	local	RVF	yes	present	1	364
5ff633cda2b5841a81ec5b9a	284462	2	main	z	15	rectangle	local	LVF	yes	present	1	578
5ff633cda2b5841a81ec5b9a	286923	2	main	z	16	absent	absent	absent	no	present	0	503
5ff633cda2b5841a81ec5b9a	288965	2	main	z	17	square	global	LVF	yes	present	1	815
5ff633cda2b5841a81ec5b9a	292250	2	main	z	18	square	local	RVF	yes	absent	0	2000
5ff633cda2b5841a81ec5b9a	293806	2	main	z	19	square	local	LVF	yes	present	1	371
5ff633cda2b5841a81ec5b9a	296542	2	main	z	20	square	global	LVF	yes	present	1	492
5ff633cda2b5841a81ec5b9a	298401	2	main	z	21	rectangle	global	RVF	yes	present	1	335
5ff633cda2b5841a81ec5b9a	299891	2	main	z	22	rectangle	local	RVF	yes	present	1	374
5ff633cda2b5841a81ec5b9a	301465	2	main	z	23	square	local	LVF	yes	present	1	431
5ff633cda2b5841a81ec5b9a	303007	2	main	z	24	square	local	LVF	yes	present	1	370
5ff633cda2b5841a81ec5b9a	304329	2	main	z	25	rectangle	global	LVF	yes	present	1	646
5ff633cda2b5841a81ec5b9a	306296	2	main	z	26	rectangle	global	RVF	yes	present	1	230
5ff633cda2b5841a81ec5b9a	308274	2	main	z	27	square	global	RVF	yes	present	1	473
5ff633cda2b5841a81ec5b9a	310054	2	main	z	28	square	global	LVF	yes	present	1	304
5ff633cda2b5841a81ec5b9a	311719	2	main	z	29	rectangle	local	LVF	yes	present	1	386
5ff633cda2b5841a81ec5b9a	313240	2	main	z	30	absent	absent	absent	no	present	0	371
5ff633cda2b5841a81ec5b9a	314772	2	main	z	31	rectangle	local	LVF	yes	present	1	339
5ff633cda2b5841a81ec5b9a	316250	2	main	z	32	square	local	RVF	yes	present	1	284
5ff633cda2b5841a81ec5b9a	319701	2	main	z	33	square	global	RVF	yes	absent	0	2000
5ff633cda2b5841a81ec5b9a	321757	2	main	z	34	rectangle	local	RVF	yes	present	1	340
5ff633cda2b5841a81ec5b9a	323250	2	main	z	35	square	local	RVF	yes	present	1	284
5ff633cda2b5841a81ec5b9a	324733	2	main	z	36	square	local	LVF	yes	present	1	250
5ff633cda2b5841a81ec5b9a	326445	2	main	z	37	absent	absent	absent	no	present	0	296
5ff633cda2b5841a81ec5b9a	328484	2	main	z	38	rectangle	global	LVF	yes	present	1	752
5ff633cda2b5841a81ec5b9a	330480	2	main	z	39	square	local	RVF	yes	present	1	765
5ff633cda2b5841a81ec5b9a	332067	2	main	z	40	absent	absent	absent	no	present	0	402
