subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6014319e270fe939a04f9750	136744	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	145321	1	practice	slash	2	square	global	LVF	yes	present	1	584
6014319e270fe939a04f9750	152481	1	practice	slash	3	square	global	LVF	yes	present	1	320
6014319e270fe939a04f9750	156346	1	practice	slash	4	absent	absent	absent	no	present	0	930
6014319e270fe939a04f9750	160273	1	practice	slash	5	rectangle	global	RVF	yes	present	1	487
6014319e270fe939a04f9750	163037	1	practice	slash	6	rectangle	local	RVF	yes	present	1	530
6014319e270fe939a04f9750	165898	1	practice	slash	7	absent	absent	absent	no	present	0	571
6014319e270fe939a04f9750	172015	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	176653	1	practice	slash	9	square	local	LVF	yes	absent	0	2000
6014319e270fe939a04f9750	179612	1	practice	slash	10	rectangle	local	RVF	yes	present	1	555
6014319e270fe939a04f9750	182701	1	practice	slash	11	square	global	RVF	yes	present	1	723
6014319e270fe939a04f9750	185395	1	practice	slash	12	square	local	LVF	yes	present	1	632
6014319e270fe939a04f9750	188089	1	practice	slash	13	rectangle	global	LVF	yes	present	1	422
6014319e270fe939a04f9750	190867	1	practice	slash	14	rectangle	local	RVF	yes	present	1	631
6014319e270fe939a04f9750	194762	1	practice	slash	15	rectangle	global	LVF	yes	present	1	472
6014319e270fe939a04f9750	197387	1	practice	slash	16	rectangle	global	RVF	yes	present	1	527
6014319e270fe939a04f9750	205664	2	main	slash	1	rectangle	global	LVF	yes	present	1	351
6014319e270fe939a04f9750	208286	2	main	slash	2	square	global	RVF	yes	present	1	363
6014319e270fe939a04f9750	211041	2	main	slash	3	square	global	LVF	yes	present	1	315
6014319e270fe939a04f9750	213906	2	main	slash	4	square	local	LVF	yes	present	1	677
6014319e270fe939a04f9750	215990	2	main	slash	5	absent	absent	absent	no	present	0	292
6014319e270fe939a04f9750	219834	2	main	slash	6	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	221909	2	main	slash	7	rectangle	local	RVF	yes	present	1	555
6014319e270fe939a04f9750	224125	2	main	slash	8	square	local	RVF	yes	present	1	685
6014319e270fe939a04f9750	226097	2	main	slash	9	square	global	LVF	yes	present	1	405
6014319e270fe939a04f9750	230028	2	main	slash	10	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	231900	2	main	slash	11	square	local	RVF	yes	present	1	353
6014319e270fe939a04f9750	236528	2	main	slash	12	rectangle	global	RVF	yes	present	1	708
6014319e270fe939a04f9750	239156	2	main	slash	13	square	global	RVF	yes	present	1	700
6014319e270fe939a04f9750	241344	2	main	slash	14	square	local	LVF	yes	present	1	736
6014319e270fe939a04f9750	243932	2	main	slash	15	rectangle	global	RVF	yes	present	1	471
6014319e270fe939a04f9750	246167	2	main	slash	16	rectangle	local	LVF	yes	present	1	720
6014319e270fe939a04f9750	248475	2	main	slash	17	square	global	RVF	yes	present	1	977
6014319e270fe939a04f9750	250527	2	main	slash	18	square	local	LVF	yes	present	1	725
6014319e270fe939a04f9750	252623	2	main	slash	19	square	global	RVF	yes	present	1	753
6014319e270fe939a04f9750	255889	2	main	slash	20	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	257951	2	main	slash	21	rectangle	local	LVF	yes	present	1	475
6014319e270fe939a04f9750	260231	2	main	slash	22	rectangle	local	RVF	yes	present	1	853
6014319e270fe939a04f9750	262214	2	main	slash	23	square	global	LVF	yes	present	1	750
6014319e270fe939a04f9750	264139	2	main	slash	24	square	global	LVF	yes	present	1	723
6014319e270fe939a04f9750	267352	2	main	slash	25	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	269474	2	main	slash	26	square	local	RVF	yes	present	1	402
6014319e270fe939a04f9750	271298	2	main	slash	27	rectangle	local	RVF	yes	present	1	440
6014319e270fe939a04f9750	272837	2	main	slash	28	rectangle	global	LVF	yes	present	1	362
6014319e270fe939a04f9750	274345	2	main	slash	29	rectangle	local	LVF	yes	present	1	373
6014319e270fe939a04f9750	275862	2	main	slash	30	square	local	RVF	yes	present	1	366
6014319e270fe939a04f9750	278981	2	main	slash	31	rectangle	local	LVF	yes	absent	0	2000
6014319e270fe939a04f9750	282484	2	main	slash	32	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	285505	2	main	slash	33	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	287149	2	main	slash	34	square	local	LVF	yes	present	1	541
6014319e270fe939a04f9750	290510	2	main	slash	35	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	291949	2	main	slash	36	rectangle	global	LVF	yes	present	1	319
6014319e270fe939a04f9750	293501	2	main	slash	37	rectangle	global	RVF	yes	present	1	436
6014319e270fe939a04f9750	295104	2	main	slash	38	rectangle	local	RVF	yes	present	1	521
6014319e270fe939a04f9750	296708	2	main	slash	39	rectangle	global	RVF	yes	present	1	541
6014319e270fe939a04f9750	298184	2	main	slash	40	rectangle	global	LVF	yes	present	1	432
6014319e270fe939a04f9750	299805	2	main	slash	41	rectangle	local	RVF	yes	present	1	550
6014319e270fe939a04f9750	301236	2	main	slash	42	rectangle	global	RVF	yes	present	1	346
6014319e270fe939a04f9750	302724	2	main	slash	43	square	local	LVF	yes	present	1	399
6014319e270fe939a04f9750	304624	2	main	slash	44	rectangle	global	RVF	yes	present	1	864
6014319e270fe939a04f9750	306181	2	main	slash	45	square	global	RVF	yes	present	1	518
6014319e270fe939a04f9750	307520	2	main	slash	46	rectangle	global	LVF	yes	present	1	323
6014319e270fe939a04f9750	309132	2	main	slash	47	rectangle	local	LVF	yes	present	1	584
6014319e270fe939a04f9750	310828	2	main	slash	48	square	local	LVF	yes	present	1	644
6014319e270fe939a04f9750	312275	2	main	slash	49	absent	absent	absent	no	present	0	441
6014319e270fe939a04f9750	314660	2	main	slash	50	rectangle	global	LVF	yes	present	1	322
6014319e270fe939a04f9750	316120	2	main	slash	51	absent	absent	absent	no	present	0	464
6014319e270fe939a04f9750	317987	2	main	slash	52	square	local	LVF	yes	present	1	429
6014319e270fe939a04f9750	321010	2	main	slash	53	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	322499	2	main	slash	54	square	local	RVF	yes	present	1	336
6014319e270fe939a04f9750	323971	2	main	slash	55	square	global	LVF	yes	present	1	423
6014319e270fe939a04f9750	325495	2	main	slash	56	rectangle	local	RVF	yes	present	1	529
6014319e270fe939a04f9750	327059	2	main	slash	57	rectangle	local	LVF	yes	present	1	558
6014319e270fe939a04f9750	329122	2	main	slash	58	rectangle	local	LVF	yes	present	1	1069
6014319e270fe939a04f9750	332122	2	main	slash	59	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	334202	2	main	slash	60	rectangle	local	RVF	yes	present	1	326
6014319e270fe939a04f9750	335518	2	main	slash	61	square	global	LVF	yes	present	1	324
6014319e270fe939a04f9750	336922	2	main	slash	62	square	global	RVF	yes	present	1	410
6014319e270fe939a04f9750	339914	2	main	slash	63	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	341530	2	main	slash	64	rectangle	local	RVF	yes	present	1	413
6014319e270fe939a04f9750	343070	2	main	slash	65	square	global	RVF	yes	present	1	535
6014319e270fe939a04f9750	344442	2	main	slash	66	square	global	RVF	yes	present	1	388
6014319e270fe939a04f9750	345813	2	main	slash	67	square	global	LVF	yes	present	1	408
6014319e270fe939a04f9750	347105	2	main	slash	68	square	local	RVF	yes	present	1	333
6014319e270fe939a04f9750	350091	2	main	slash	69	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	353037	2	main	slash	70	square	local	LVF	yes	present	1	224
6014319e270fe939a04f9750	354341	2	main	slash	71	rectangle	local	LVF	yes	present	1	310
6014319e270fe939a04f9750	355666	2	main	slash	72	absent	absent	absent	no	present	0	369
6014319e270fe939a04f9750	357457	2	main	slash	73	rectangle	global	LVF	yes	present	1	323
6014319e270fe939a04f9750	360436	2	main	slash	74	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	362045	2	main	slash	75	rectangle	global	RVF	yes	present	1	439
6014319e270fe939a04f9750	363672	2	main	slash	76	square	local	RVF	yes	present	1	431
6014319e270fe939a04f9750	365036	2	main	slash	77	square	local	RVF	yes	present	1	411
6014319e270fe939a04f9750	366329	2	main	slash	78	rectangle	global	LVF	yes	present	1	318
6014319e270fe939a04f9750	367757	2	main	slash	79	square	global	LVF	yes	present	1	445
6014319e270fe939a04f9750	369076	2	main	slash	80	rectangle	global	RVF	yes	present	1	329
6014319e270fe939a04f9750	396892	3	practice	z	1	rectangle	local	RVF	yes	present	1	365
6014319e270fe939a04f9750	401130	3	practice	z	2	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	405283	3	practice	z	3	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	407779	3	practice	z	4	square	global	LVF	yes	present	1	357
6014319e270fe939a04f9750	410498	3	practice	z	5	rectangle	global	RVF	yes	present	1	341
6014319e270fe939a04f9750	412786	3	practice	z	6	rectangle	global	LVF	yes	present	1	410
6014319e270fe939a04f9750	415081	3	practice	z	7	rectangle	global	RVF	yes	present	1	269
6014319e270fe939a04f9750	417514	3	practice	z	8	rectangle	local	RVF	yes	present	1	366
6014319e270fe939a04f9750	419893	3	practice	z	9	square	global	LVF	yes	present	1	476
6014319e270fe939a04f9750	422321	3	practice	z	10	square	global	RVF	yes	present	1	506
6014319e270fe939a04f9750	424450	3	practice	z	11	rectangle	local	RVF	yes	present	1	226
6014319e270fe939a04f9750	427102	3	practice	z	12	square	local	LVF	yes	present	1	492
6014319e270fe939a04f9750	429518	3	practice	z	13	absent	absent	absent	no	present	0	456
6014319e270fe939a04f9750	432322	3	practice	z	14	rectangle	global	LVF	yes	present	1	423
6014319e270fe939a04f9750	435033	3	practice	z	15	square	local	LVF	yes	present	1	282
6014319e270fe939a04f9750	439088	3	practice	z	16	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	444996	4	main	z	1	rectangle	global	RVF	yes	present	1	342
6014319e270fe939a04f9750	447547	4	main	z	2	square	local	LVF	yes	present	1	482
6014319e270fe939a04f9750	449184	4	main	z	3	rectangle	local	RVF	yes	present	1	371
6014319e270fe939a04f9750	450576	4	main	z	4	square	local	RVF	yes	present	1	358
6014319e270fe939a04f9750	453587	4	main	z	5	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	455190	4	main	z	6	rectangle	local	LVF	yes	present	1	506
6014319e270fe939a04f9750	456625	4	main	z	7	rectangle	global	RVF	yes	present	1	378
6014319e270fe939a04f9750	458012	4	main	z	8	rectangle	global	LVF	yes	present	1	385
6014319e270fe939a04f9750	459403	4	main	z	9	rectangle	local	RVF	yes	present	1	408
6014319e270fe939a04f9750	460823	4	main	z	10	square	local	LVF	yes	present	1	360
6014319e270fe939a04f9750	463798	4	main	z	11	rectangle	global	RVF	yes	absent	0	2000
6014319e270fe939a04f9750	465318	4	main	z	12	rectangle	local	RVF	yes	present	1	376
6014319e270fe939a04f9750	466731	4	main	z	13	rectangle	local	LVF	yes	present	1	428
6014319e270fe939a04f9750	469704	4	main	z	14	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	471982	4	main	z	15	rectangle	global	LVF	yes	present	1	390
6014319e270fe939a04f9750	473406	4	main	z	16	rectangle	local	RVF	yes	present	1	431
6014319e270fe939a04f9750	474905	4	main	z	17	square	global	RVF	yes	present	1	561
6014319e270fe939a04f9750	476238	4	main	z	18	square	local	LVF	yes	present	1	408
6014319e270fe939a04f9750	477574	4	main	z	19	square	local	RVF	yes	present	1	410
6014319e270fe939a04f9750	480532	4	main	z	20	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	483886	4	main	z	21	square	global	RVF	yes	absent	0	2000
6014319e270fe939a04f9750	485402	4	main	z	22	square	global	LVF	yes	present	1	396
6014319e270fe939a04f9750	486721	4	main	z	23	square	local	RVF	yes	present	1	347
6014319e270fe939a04f9750	488045	4	main	z	24	square	local	LVF	yes	present	1	353
6014319e270fe939a04f9750	490217	4	main	z	25	rectangle	local	LVF	yes	present	1	1190
6014319e270fe939a04f9750	493547	4	main	z	26	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	495045	4	main	z	27	rectangle	global	LVF	yes	present	1	312
6014319e270fe939a04f9750	496293	4	main	z	28	rectangle	global	LVF	yes	present	1	308
6014319e270fe939a04f9750	497672	4	main	z	29	square	local	RVF	yes	present	1	403
6014319e270fe939a04f9750	499436	4	main	z	30	square	global	RVF	yes	present	1	816
6014319e270fe939a04f9750	500812	4	main	z	31	square	global	RVF	yes	present	1	390
6014319e270fe939a04f9750	502813	4	main	z	32	absent	absent	absent	no	present	0	1039
6014319e270fe939a04f9750	505826	4	main	z	33	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	507681	4	main	z	34	rectangle	local	LVF	yes	present	1	484
6014319e270fe939a04f9750	508968	4	main	z	35	square	global	LVF	yes	present	1	320
6014319e270fe939a04f9750	510259	4	main	z	36	square	global	LVF	yes	present	1	344
6014319e270fe939a04f9750	511648	4	main	z	37	rectangle	global	RVF	yes	present	1	430
6014319e270fe939a04f9750	512960	4	main	z	38	square	global	LVF	yes	present	1	357
6014319e270fe939a04f9750	515887	4	main	z	39	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	519258	4	main	z	40	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	520627	4	main	z	41	rectangle	local	LVF	yes	present	1	483
6014319e270fe939a04f9750	523579	4	main	z	42	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	525023	4	main	z	43	rectangle	global	RVF	yes	present	1	458
6014319e270fe939a04f9750	527967	4	main	z	44	rectangle	local	LVF	yes	absent	0	2000
6014319e270fe939a04f9750	529671	4	main	z	45	rectangle	local	LVF	yes	present	1	467
6014319e270fe939a04f9750	532605	4	main	z	46	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	534019	4	main	z	47	square	local	LVF	yes	present	1	360
6014319e270fe939a04f9750	535546	4	main	z	48	square	global	RVF	yes	present	1	603
6014319e270fe939a04f9750	537022	4	main	z	49	square	global	RVF	yes	present	1	527
6014319e270fe939a04f9750	538330	4	main	z	50	rectangle	global	LVF	yes	present	1	379
6014319e270fe939a04f9750	539866	4	main	z	51	square	local	LVF	yes	present	1	584
6014319e270fe939a04f9750	542850	4	main	z	52	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	544490	4	main	z	53	square	local	LVF	yes	present	1	387
6014319e270fe939a04f9750	545802	4	main	z	54	square	global	LVF	yes	present	1	314
6014319e270fe939a04f9750	548756	4	main	z	55	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	550397	4	main	z	56	rectangle	global	RVF	yes	present	1	421
6014319e270fe939a04f9750	551706	4	main	z	57	absent	absent	absent	no	present	0	328
6014319e270fe939a04f9750	587803	4	main	z	58	square	local	RVF	yes	present	1	353
6014319e270fe939a04f9750	589395	4	main	z	59	rectangle	local	RVF	yes	present	1	311
6014319e270fe939a04f9750	590811	4	main	z	60	square	global	LVF	yes	present	1	424
6014319e270fe939a04f9750	592067	4	main	z	61	rectangle	global	LVF	yes	present	1	296
6014319e270fe939a04f9750	593294	4	main	z	62	square	local	RVF	yes	present	1	322
6014319e270fe939a04f9750	594587	4	main	z	63	rectangle	local	RVF	yes	present	1	313
6014319e270fe939a04f9750	595947	4	main	z	64	square	local	LVF	yes	present	1	455
6014319e270fe939a04f9750	597199	4	main	z	65	square	local	RVF	yes	present	1	339
6014319e270fe939a04f9750	598438	4	main	z	66	rectangle	global	RVF	yes	present	1	326
6014319e270fe939a04f9750	599702	4	main	z	67	square	global	RVF	yes	present	1	290
6014319e270fe939a04f9750	601166	4	main	z	68	rectangle	local	RVF	yes	present	1	536
6014319e270fe939a04f9750	602427	4	main	z	69	rectangle	global	LVF	yes	present	1	327
6014319e270fe939a04f9750	603667	4	main	z	70	square	global	LVF	yes	present	1	350
6014319e270fe939a04f9750	604882	4	main	z	71	square	global	LVF	yes	present	1	313
6014319e270fe939a04f9750	607586	4	main	z	72	absent	absent	absent	no	present	0	1782
6014319e270fe939a04f9750	608855	4	main	z	73	square	global	RVF	yes	present	1	315
6014319e270fe939a04f9750	611808	4	main	z	74	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	613370	4	main	z	75	rectangle	global	LVF	yes	present	1	292
6014319e270fe939a04f9750	614810	4	main	z	76	square	local	RVF	yes	present	1	447
6014319e270fe939a04f9750	616049	4	main	z	77	rectangle	global	RVF	yes	present	1	335
6014319e270fe939a04f9750	617341	4	main	z	78	rectangle	local	RVF	yes	present	1	410
6014319e270fe939a04f9750	620267	4	main	z	79	absent	absent	absent	no	absent	1	2000
6014319e270fe939a04f9750	621609	4	main	z	80	rectangle	local	LVF	yes	present	1	222
