subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60188f5f74e975153e518af0	227920	1	practice	z	1	square	local	LVF	yes	absent	0	2000
60188f5f74e975153e518af0	233044	1	practice	z	2	absent	absent	absent	no	present	0	1058
60188f5f74e975153e518af0	236826	1	practice	z	3	rectangle	global	LVF	yes	present	1	658
60188f5f74e975153e518af0	240120	1	practice	z	4	rectangle	local	RVF	yes	present	1	884
60188f5f74e975153e518af0	242929	1	practice	z	5	square	global	LVF	yes	present	1	444
60188f5f74e975153e518af0	247185	1	practice	z	6	absent	absent	absent	no	absent	1	2000
60188f5f74e975153e518af0	250145	1	practice	z	7	rectangle	local	RVF	yes	present	1	593
60188f5f74e975153e518af0	253333	1	practice	z	8	absent	absent	absent	no	present	0	781
60188f5f74e975153e518af0	257185	1	practice	z	9	rectangle	global	LVF	yes	present	1	882
60188f5f74e975153e518af0	260325	1	practice	z	10	rectangle	local	RVF	yes	present	1	791
60188f5f74e975153e518af0	263222	1	practice	z	11	square	local	LVF	yes	present	1	703
60188f5f74e975153e518af0	266174	1	practice	z	12	square	global	LVF	yes	present	1	805
60188f5f74e975153e518af0	268791	1	practice	z	13	square	global	RVF	yes	present	1	506
60188f5f74e975153e518af0	271469	1	practice	z	14	rectangle	global	RVF	yes	present	1	518
60188f5f74e975153e518af0	273984	1	practice	z	15	rectangle	global	RVF	yes	present	1	449
60188f5f74e975153e518af0	276401	1	practice	z	16	absent	absent	absent	no	present	0	432
60188f5f74e975153e518af0	295239	2	main	z	1	square	global	LVF	yes	present	1	354
60188f5f74e975153e518af0	298450	2	main	z	2	absent	absent	absent	no	present	0	698
60188f5f74e975153e518af0	300980	2	main	z	3	square	local	LVF	yes	present	1	662
60188f5f74e975153e518af0	305334	2	main	z	4	rectangle	local	RVF	yes	absent	0	2000
60188f5f74e975153e518af0	307438	2	main	z	5	rectangle	global	LVF	yes	present	1	636
60188f5f74e975153e518af0	309818	2	main	z	6	square	global	LVF	yes	present	1	385
60188f5f74e975153e518af0	312345	2	main	z	7	rectangle	global	RVF	yes	present	1	543
60188f5f74e975153e518af0	316268	2	main	z	8	absent	absent	absent	no	absent	1	2000
60188f5f74e975153e518af0	318503	2	main	z	9	rectangle	global	RVF	yes	present	1	468
60188f5f74e975153e518af0	321130	2	main	z	10	absent	absent	absent	no	present	0	678
60188f5f74e975153e518af0	323212	2	main	z	11	rectangle	local	RVF	yes	present	1	610
60188f5f74e975153e518af0	325742	2	main	z	12	rectangle	local	LVF	yes	present	1	774
60188f5f74e975153e518af0	328016	2	main	z	13	absent	absent	absent	no	present	0	548
60188f5f74e975153e518af0	330078	2	main	z	14	rectangle	global	RVF	yes	present	1	443
60188f5f74e975153e518af0	331996	2	main	z	15	square	global	RVF	yes	present	1	395
60188f5f74e975153e518af0	333996	2	main	z	16	rectangle	global	LVF	yes	present	1	395
60188f5f74e975153e518af0	335992	2	main	z	17	square	local	LVF	yes	present	1	424
60188f5f74e975153e518af0	337952	2	main	z	18	rectangle	global	LVF	yes	present	1	450
60188f5f74e975153e518af0	339882	2	main	z	19	square	global	LVF	yes	present	1	397
60188f5f74e975153e518af0	342951	2	main	z	20	square	local	LVF	yes	present	1	1564
60188f5f74e975153e518af0	345418	2	main	z	21	absent	absent	absent	no	present	0	933
60188f5f74e975153e518af0	347087	2	main	z	22	rectangle	local	LVF	yes	present	1	418
60188f5f74e975153e518af0	348841	2	main	z	23	square	global	LVF	yes	present	1	406
60188f5f74e975153e518af0	350681	2	main	z	24	rectangle	local	RVF	yes	present	1	447
60188f5f74e975153e518af0	354268	2	main	z	25	absent	absent	absent	no	absent	1	2000
60188f5f74e975153e518af0	356658	2	main	z	26	square	local	RVF	yes	present	1	456
60188f5f74e975153e518af0	359207	2	main	z	27	rectangle	local	LVF	yes	present	1	788
60188f5f74e975153e518af0	362534	2	main	z	28	square	global	RVF	yes	absent	0	2000
60188f5f74e975153e518af0	364952	2	main	z	29	square	global	RVF	yes	present	1	484
60188f5f74e975153e518af0	368285	2	main	z	30	absent	absent	absent	no	absent	1	2000
60188f5f74e975153e518af0	371484	2	main	z	31	square	local	RVF	yes	absent	0	2000
60188f5f74e975153e518af0	373215	2	main	z	32	rectangle	local	RVF	yes	present	1	563
60188f5f74e975153e518af0	376818	2	main	z	33	square	local	RVF	yes	absent	0	2000
60188f5f74e975153e518af0	378690	2	main	z	34	square	local	LVF	yes	present	1	589
60188f5f74e975153e518af0	381196	2	main	z	35	rectangle	global	RVF	yes	present	1	644
60188f5f74e975153e518af0	383360	2	main	z	36	absent	absent	absent	no	present	0	509
60188f5f74e975153e518af0	385497	2	main	z	37	rectangle	global	LVF	yes	present	1	445
60188f5f74e975153e518af0	387699	2	main	z	38	rectangle	local	LVF	yes	present	1	464
60188f5f74e975153e518af0	389744	2	main	z	39	square	global	RVF	yes	present	1	527
60188f5f74e975153e518af0	391803	2	main	z	40	square	local	RVF	yes	present	1	585
60188f5f74e975153e518af0	393716	2	main	z	41	rectangle	local	LVF	yes	present	1	565
60188f5f74e975153e518af0	397151	2	main	z	42	rectangle	global	LVF	yes	absent	0	2000
60188f5f74e975153e518af0	399601	2	main	z	43	square	local	RVF	yes	present	1	999
60188f5f74e975153e518af0	403201	2	main	z	44	square	local	RVF	yes	absent	0	2000
60188f5f74e975153e518af0	405103	2	main	z	45	square	local	LVF	yes	present	1	485
60188f5f74e975153e518af0	407475	2	main	z	46	absent	absent	absent	no	present	0	789
60188f5f74e975153e518af0	409850	2	main	z	47	square	global	LVF	yes	present	1	416
60188f5f74e975153e518af0	411811	2	main	z	48	square	global	LVF	yes	present	1	444
60188f5f74e975153e518af0	413855	2	main	z	49	square	global	RVF	yes	present	1	471
60188f5f74e975153e518af0	417217	2	main	z	50	absent	absent	absent	no	absent	1	2000
60188f5f74e975153e518af0	420851	2	main	z	51	rectangle	local	LVF	yes	absent	0	2000
60188f5f74e975153e518af0	422961	2	main	z	52	rectangle	global	RVF	yes	present	1	576
60188f5f74e975153e518af0	425165	2	main	z	53	rectangle	global	LVF	yes	present	1	430
60188f5f74e975153e518af0	427470	2	main	z	54	rectangle	global	RVF	yes	present	1	718
60188f5f74e975153e518af0	429974	2	main	z	55	square	global	RVF	yes	present	1	639
60188f5f74e975153e518af0	431828	2	main	z	56	absent	absent	absent	no	present	0	576
60188f5f74e975153e518af0	434766	2	main	z	57	rectangle	local	RVF	yes	present	1	831
