subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6025534aacfd7c07175859d8	593489	9.5	practice	slash	1	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	598415	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	1993
6025534aacfd7c07175859d8	602511	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	1206
6025534aacfd7c07175859d8	606720	9.5	practice	slash	4	square	global	LVF	yes	present	1	948
6025534aacfd7c07175859d8	611772	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	615054	9.5	practice	slash	6	square	global	LVF	yes	present	1	1115
6025534aacfd7c07175859d8	618127	9.5	practice	slash	7	square	global	RVF	yes	present	1	921
6025534aacfd7c07175859d8	621294	9.5	practice	slash	8	rectangle	global	RVF	yes	present	1	955
6025534aacfd7c07175859d8	624367	9.5	practice	slash	9	rectangle	global	RVF	yes	present	1	910
6025534aacfd7c07175859d8	628656	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	631529	9.5	practice	slash	11	rectangle	global	LVF	yes	present	1	757
6025534aacfd7c07175859d8	635398	9.5	practice	slash	12	square	local	LVF	yes	present	1	926
6025534aacfd7c07175859d8	638408	9.5	practice	slash	13	rectangle	global	LVF	yes	present	1	936
6025534aacfd7c07175859d8	641778	9.5	practice	slash	14	square	local	LVF	yes	present	1	821
6025534aacfd7c07175859d8	644910	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	1004
6025534aacfd7c07175859d8	647745	9.5	practice	slash	16	absent	absent	absent	no	present	0	856
6025534aacfd7c07175859d8	654200	10.5	main	slash	1	square	local	LVF	yes	present	1	761
6025534aacfd7c07175859d8	658189	10.5	main	slash	2	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	660310	10.5	main	slash	3	absent	absent	absent	no	present	0	954
6025534aacfd7c07175859d8	662590	10.5	main	slash	4	rectangle	global	LVF	yes	present	1	967
6025534aacfd7c07175859d8	664790	10.5	main	slash	5	absent	absent	absent	no	present	0	901
6025534aacfd7c07175859d8	666838	10.5	main	slash	6	square	global	RVF	yes	present	1	1032
6025534aacfd7c07175859d8	668558	10.5	main	slash	7	square	local	LVF	yes	present	1	836
6025534aacfd7c07175859d8	670366	10.5	main	slash	8	rectangle	global	RVF	yes	present	1	844
6025534aacfd7c07175859d8	672102	10.5	main	slash	9	rectangle	local	LVF	yes	present	1	830
6025534aacfd7c07175859d8	674014	10.5	main	slash	10	square	global	RVF	yes	present	1	942
6025534aacfd7c07175859d8	675958	10.5	main	slash	11	rectangle	global	RVF	yes	present	1	1036
6025534aacfd7c07175859d8	678906	10.5	main	slash	12	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	680894	10.5	main	slash	13	rectangle	local	RVF	yes	present	1	838
6025534aacfd7c07175859d8	682630	10.5	main	slash	14	rectangle	local	RVF	yes	present	1	791
6025534aacfd7c07175859d8	684390	10.5	main	slash	15	square	local	RVF	yes	present	1	784
6025534aacfd7c07175859d8	686231	10.5	main	slash	16	square	global	LVF	yes	present	1	875
6025534aacfd7c07175859d8	688046	10.5	main	slash	17	rectangle	local	LVF	yes	present	1	907
6025534aacfd7c07175859d8	689854	10.5	main	slash	18	rectangle	local	RVF	yes	present	1	915
6025534aacfd7c07175859d8	692724	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	694702	10.5	main	slash	20	square	global	LVF	yes	present	1	763
6025534aacfd7c07175859d8	696510	10.5	main	slash	21	square	local	RVF	yes	present	1	854
6025534aacfd7c07175859d8	699439	10.5	main	slash	22	rectangle	local	LVF	yes	absent	0	2000
6025534aacfd7c07175859d8	701264	10.5	main	slash	23	rectangle	global	LVF	yes	present	1	758
6025534aacfd7c07175859d8	702830	10.5	main	slash	24	square	global	LVF	yes	present	1	641
6025534aacfd7c07175859d8	704552	10.5	main	slash	25	rectangle	local	LVF	yes	present	1	796
6025534aacfd7c07175859d8	707423	10.5	main	slash	26	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	709479	10.5	main	slash	27	square	global	RVF	yes	present	1	623
6025534aacfd7c07175859d8	711262	10.5	main	slash	28	square	global	LVF	yes	present	1	806
6025534aacfd7c07175859d8	714156	10.5	main	slash	29	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	716151	10.5	main	slash	30	square	local	RVF	yes	present	1	961
6025534aacfd7c07175859d8	717614	10.5	main	slash	31	rectangle	global	RVF	yes	present	1	558
6025534aacfd7c07175859d8	719334	10.5	main	slash	32	rectangle	local	RVF	yes	present	1	778
6025534aacfd7c07175859d8	720993	10.5	main	slash	33	square	global	RVF	yes	present	1	754
6025534aacfd7c07175859d8	722718	10.5	main	slash	34	square	local	RVF	yes	present	1	795
6025534aacfd7c07175859d8	724406	10.5	main	slash	35	rectangle	global	LVF	yes	present	1	800
6025534aacfd7c07175859d8	727323	10.5	main	slash	36	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	729058	10.5	main	slash	37	rectangle	global	RVF	yes	present	1	736
6025534aacfd7c07175859d8	730759	10.5	main	slash	38	square	local	LVF	yes	present	1	786
6025534aacfd7c07175859d8	732248	10.5	main	slash	39	square	local	LVF	yes	present	1	608
6025534aacfd7c07175859d8	734040	10.5	main	slash	40	rectangle	global	LVF	yes	present	1	801
6025534aacfd7c07175859d8	735744	10.5	main	slash	41	absent	absent	absent	no	present	0	888
6025534aacfd7c07175859d8	737406	10.5	main	slash	42	square	local	LVF	yes	present	1	816
6025534aacfd7c07175859d8	739687	10.5	main	slash	43	square	global	LVF	yes	present	1	1398
6025534aacfd7c07175859d8	741447	10.5	main	slash	44	rectangle	global	RVF	yes	present	1	791
6025534aacfd7c07175859d8	743070	10.5	main	slash	45	rectangle	local	LVF	yes	present	1	680
6025534aacfd7c07175859d8	744942	10.5	main	slash	46	rectangle	local	LVF	yes	present	1	919
6025534aacfd7c07175859d8	746662	10.5	main	slash	47	square	local	LVF	yes	present	1	806
6025534aacfd7c07175859d8	748350	10.5	main	slash	48	square	global	RVF	yes	present	1	827
6025534aacfd7c07175859d8	750262	10.5	main	slash	49	rectangle	local	RVF	yes	present	1	989
6025534aacfd7c07175859d8	752142	10.5	main	slash	50	square	global	RVF	yes	present	1	969
6025534aacfd7c07175859d8	755040	10.5	main	slash	51	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	757134	10.5	main	slash	52	rectangle	local	LVF	yes	present	1	1011
6025534aacfd7c07175859d8	758831	10.5	main	slash	53	rectangle	global	LVF	yes	present	1	825
6025534aacfd7c07175859d8	761723	10.5	main	slash	54	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	763414	10.5	main	slash	55	square	global	LVF	yes	present	1	758
6025534aacfd7c07175859d8	766224	10.5	main	slash	56	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	768246	10.5	main	slash	57	square	global	RVF	yes	present	1	840
6025534aacfd7c07175859d8	769942	10.5	main	slash	58	rectangle	local	LVF	yes	present	1	802
6025534aacfd7c07175859d8	771799	10.5	main	slash	59	square	local	RVF	yes	present	1	976
6025534aacfd7c07175859d8	773446	10.5	main	slash	60	square	local	LVF	yes	present	1	790
6025534aacfd7c07175859d8	775302	10.5	main	slash	61	rectangle	local	RVF	yes	present	1	946
6025534aacfd7c07175859d8	776990	10.5	main	slash	62	square	global	LVF	yes	present	1	835
6025534aacfd7c07175859d8	778655	10.5	main	slash	63	square	local	RVF	yes	present	1	797
6025534aacfd7c07175859d8	780366	10.5	main	slash	64	square	local	RVF	yes	present	1	810
6025534aacfd7c07175859d8	782152	10.5	main	slash	65	rectangle	global	LVF	yes	present	1	912
6025534aacfd7c07175859d8	783777	10.5	main	slash	66	square	local	LVF	yes	present	1	754
6025534aacfd7c07175859d8	785462	10.5	main	slash	67	rectangle	local	RVF	yes	present	1	756
6025534aacfd7c07175859d8	788307	10.5	main	slash	68	absent	absent	absent	no	absent	1	2000
6025534aacfd7c07175859d8	789958	10.5	main	slash	69	rectangle	local	RVF	yes	present	1	718
6025534aacfd7c07175859d8	791862	10.5	main	slash	70	rectangle	global	RVF	yes	present	1	989
6025534aacfd7c07175859d8	793384	10.5	main	slash	71	square	local	RVF	yes	present	1	727
