subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
603cdf727dc2aaaf78665c7a	768827	9.5	practice	slash	1	square	global	LVF	yes	present	1	527
603cdf727dc2aaaf78665c7a	772014	9.5	practice	slash	2	rectangle	global	RVF	yes	present	1	574
603cdf727dc2aaaf78665c7a	774823	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	539
603cdf727dc2aaaf78665c7a	779078	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2000
603cdf727dc2aaaf78665c7a	782044	9.5	practice	slash	5	square	local	LVF	yes	present	1	586
603cdf727dc2aaaf78665c7a	785345	9.5	practice	slash	6	rectangle	global	RVF	yes	present	1	909
603cdf727dc2aaaf78665c7a	789519	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
603cdf727dc2aaaf78665c7a	792197	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	720
603cdf727dc2aaaf78665c7a	794824	9.5	practice	slash	9	rectangle	global	LVF	yes	present	1	381
603cdf727dc2aaaf78665c7a	798929	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2000
603cdf727dc2aaaf78665c7a	801147	9.5	practice	slash	11	rectangle	local	RVF	yes	present	1	344
603cdf727dc2aaaf78665c7a	803761	9.5	practice	slash	12	square	global	LVF	yes	present	1	439
603cdf727dc2aaaf78665c7a	807763	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
603cdf727dc2aaaf78665c7a	810012	9.5	practice	slash	14	square	global	RVF	yes	present	1	330
603cdf727dc2aaaf78665c7a	812460	9.5	practice	slash	15	square	local	LVF	yes	present	1	380
603cdf727dc2aaaf78665c7a	814744	9.5	practice	slash	16	rectangle	global	LVF	yes	present	1	358
603cdf727dc2aaaf78665c7a	825838	10.5	main	slash	1	square	global	RVF	yes	present	1	305
603cdf727dc2aaaf78665c7a	827439	10.5	main	slash	2	rectangle	local	RVF	yes	present	1	331
603cdf727dc2aaaf78665c7a	828903	10.5	main	slash	3	square	global	LVF	yes	present	1	325
603cdf727dc2aaaf78665c7a	830305	10.5	main	slash	4	rectangle	global	RVF	yes	present	1	325
603cdf727dc2aaaf78665c7a	831540	10.5	main	slash	5	square	local	LVF	yes	present	1	289
603cdf727dc2aaaf78665c7a	832885	10.5	main	slash	6	square	global	RVF	yes	present	1	307
603cdf727dc2aaaf78665c7a	834125	10.5	main	slash	7	square	local	LVF	yes	present	1	321
603cdf727dc2aaaf78665c7a	835395	10.5	main	slash	8	rectangle	local	LVF	yes	present	1	322
603cdf727dc2aaaf78665c7a	836691	10.5	main	slash	9	square	local	RVF	yes	present	1	281
603cdf727dc2aaaf78665c7a	837991	10.5	main	slash	10	rectangle	local	RVF	yes	present	1	310
603cdf727dc2aaaf78665c7a	839181	10.5	main	slash	11	rectangle	local	RVF	yes	present	1	318
