subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6074c0ce19889ca4efd4448e	273173	1	practice	z	1	square	global	LVF	yes	present	1	1604
6074c0ce19889ca4efd4448e	276828	1	practice	z	2	rectangle	local	RVF	yes	present	1	943
6074c0ce19889ca4efd4448e	280143	1	practice	z	3	rectangle	global	RVF	yes	present	1	1092
6074c0ce19889ca4efd4448e	284801	1	practice	z	4	square	global	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	288184	1	practice	z	5	rectangle	global	LVF	yes	present	1	1084
6074c0ce19889ca4efd4448e	292800	1	practice	z	6	absent	absent	absent	no	absent	1	2000
6074c0ce19889ca4efd4448e	297149	1	practice	z	7	rectangle	global	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	300678	1	practice	z	8	rectangle	local	RVF	yes	present	1	1263
6074c0ce19889ca4efd4448e	304342	1	practice	z	9	square	local	LVF	yes	present	1	1177
6074c0ce19889ca4efd4448e	307531	1	practice	z	10	rectangle	global	LVF	yes	present	1	968
6074c0ce19889ca4efd4448e	310047	1	practice	z	11	square	local	LVF	yes	present	1	518
6074c0ce19889ca4efd4448e	314414	1	practice	z	12	absent	absent	absent	no	absent	1	2000
6074c0ce19889ca4efd4448e	317785	1	practice	z	13	square	global	LVF	yes	present	1	1155
6074c0ce19889ca4efd4448e	321329	1	practice	z	14	absent	absent	absent	no	present	0	1233
6074c0ce19889ca4efd4448e	325545	1	practice	z	15	rectangle	local	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	329099	1	practice	z	16	absent	absent	absent	no	present	0	1454
6074c0ce19889ca4efd4448e	338773	2	main	z	1	square	global	LVF	yes	present	1	815
6074c0ce19889ca4efd4448e	341995	2	main	z	2	square	local	LVF	yes	present	1	821
6074c0ce19889ca4efd4448e	344429	2	main	z	3	absent	absent	absent	no	present	0	921
6074c0ce19889ca4efd4448e	346439	2	main	z	4	square	global	RVF	yes	present	1	498
6074c0ce19889ca4efd4448e	348678	2	main	z	5	rectangle	local	LVF	yes	present	1	837
6074c0ce19889ca4efd4448e	351100	2	main	z	6	rectangle	global	RVF	yes	present	1	976
6074c0ce19889ca4efd4448e	353802	2	main	z	7	rectangle	global	LVF	yes	present	1	996
6074c0ce19889ca4efd4448e	356614	2	main	z	8	absent	absent	absent	no	present	0	1358
6074c0ce19889ca4efd4448e	360623	2	main	z	9	square	global	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	362797	2	main	z	10	rectangle	global	RVF	yes	present	1	975
6074c0ce19889ca4efd4448e	365345	2	main	z	11	rectangle	global	LVF	yes	present	1	889
6074c0ce19889ca4efd4448e	367628	2	main	z	12	square	global	LVF	yes	present	1	923
6074c0ce19889ca4efd4448e	369793	2	main	z	13	absent	absent	absent	no	present	0	1038
6074c0ce19889ca4efd4448e	372143	2	main	z	14	square	global	LVF	yes	present	1	1155
6074c0ce19889ca4efd4448e	374247	2	main	z	15	square	global	RVF	yes	present	1	1026
6074c0ce19889ca4efd4448e	377253	2	main	z	16	square	local	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	379443	2	main	z	17	rectangle	local	RVF	yes	present	1	989
6074c0ce19889ca4efd4448e	381550	2	main	z	18	rectangle	local	LVF	yes	present	1	963
6074c0ce19889ca4efd4448e	383794	2	main	z	19	square	local	RVF	yes	present	1	1241
6074c0ce19889ca4efd4448e	386440	2	main	z	20	rectangle	global	LVF	yes	present	1	1671
6074c0ce19889ca4efd4448e	388911	2	main	z	21	rectangle	local	LVF	yes	present	1	1059
6074c0ce19889ca4efd4448e	391225	2	main	z	22	square	local	LVF	yes	present	1	1307
6074c0ce19889ca4efd4448e	393353	2	main	z	23	rectangle	local	LVF	yes	present	1	1052
6074c0ce19889ca4efd4448e	396351	2	main	z	24	absent	absent	absent	no	absent	1	2000
6074c0ce19889ca4efd4448e	399020	2	main	z	25	square	local	LVF	yes	present	1	1019
6074c0ce19889ca4efd4448e	401612	2	main	z	26	absent	absent	absent	no	present	0	1544
6074c0ce19889ca4efd4448e	404850	2	main	z	27	square	global	RVF	yes	absent	0	2000
6074c0ce19889ca4efd4448e	407096	2	main	z	28	rectangle	global	LVF	yes	present	1	1163
6074c0ce19889ca4efd4448e	409966	2	main	z	29	square	local	LVF	yes	present	1	1783
6074c0ce19889ca4efd4448e	413478	2	main	z	30	square	local	RVF	yes	present	1	1747
6074c0ce19889ca4efd4448e	415906	2	main	z	31	rectangle	local	RVF	yes	present	1	1190
6074c0ce19889ca4efd4448e	418882	2	main	z	32	absent	absent	absent	no	absent	1	2000
