subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60a1e78bca6d054be353758f	625274	9.5	practice	slash	1	rectangle	local	RVF	yes	present	1	612
60a1e78bca6d054be353758f	630106	9.5	practice	slash	2	square	local	LVF	yes	present	1	656
60a1e78bca6d054be353758f	635038	9.5	practice	slash	3	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	638092	9.5	practice	slash	4	rectangle	local	RVF	yes	present	1	683
60a1e78bca6d054be353758f	641516	9.5	practice	slash	5	square	global	LVF	yes	present	1	854
60a1e78bca6d054be353758f	645631	9.5	practice	slash	6	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	649969	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	653420	9.5	practice	slash	8	rectangle	global	RVF	yes	present	1	1182
60a1e78bca6d054be353758f	656237	9.5	practice	slash	9	square	local	LVF	yes	present	1	678
60a1e78bca6d054be353758f	658878	9.5	practice	slash	10	rectangle	global	LVF	yes	present	1	649
60a1e78bca6d054be353758f	661502	9.5	practice	slash	11	square	global	RVF	yes	present	1	654
60a1e78bca6d054be353758f	665567	9.5	practice	slash	12	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	668335	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	647
60a1e78bca6d054be353758f	671919	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	979
60a1e78bca6d054be353758f	674927	9.5	practice	slash	15	rectangle	global	LVF	yes	present	1	834
60a1e78bca6d054be353758f	677712	9.5	practice	slash	16	square	global	LVF	yes	present	1	648
60a1e78bca6d054be353758f	689976	10.5	main	slash	1	rectangle	global	LVF	yes	present	1	568
60a1e78bca6d054be353758f	691880	10.5	main	slash	2	rectangle	local	LVF	yes	present	1	570
60a1e78bca6d054be353758f	694845	10.5	main	slash	3	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	696585	10.5	main	slash	4	square	global	RVF	yes	present	1	603
60a1e78bca6d054be353758f	698217	10.5	main	slash	5	square	local	RVF	yes	present	1	600
60a1e78bca6d054be353758f	699625	10.5	main	slash	6	rectangle	local	LVF	yes	present	1	475
60a1e78bca6d054be353758f	701657	10.5	main	slash	7	rectangle	global	RVF	yes	present	1	888
60a1e78bca6d054be353758f	704704	10.5	main	slash	8	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	706650	10.5	main	slash	9	rectangle	local	RVF	yes	present	1	725
60a1e78bca6d054be353758f	709559	10.5	main	slash	10	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	711467	10.5	main	slash	11	square	global	LVF	yes	present	1	671
60a1e78bca6d054be353758f	713131	10.5	main	slash	12	square	local	RVF	yes	present	1	617
60a1e78bca6d054be353758f	714795	10.5	main	slash	13	rectangle	global	LVF	yes	present	1	696
60a1e78bca6d054be353758f	716907	10.5	main	slash	14	rectangle	global	LVF	yes	present	1	1156
60a1e78bca6d054be353758f	719227	10.5	main	slash	15	square	local	LVF	yes	present	1	1292
60a1e78bca6d054be353758f	720731	10.5	main	slash	16	square	local	LVF	yes	present	1	627
60a1e78bca6d054be353758f	722444	10.5	main	slash	17	square	local	RVF	yes	present	1	721
60a1e78bca6d054be353758f	725132	10.5	main	slash	18	square	global	RVF	yes	present	1	1724
60a1e78bca6d054be353758f	728094	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	731080	10.5	main	slash	20	absent	absent	absent	no	absent	1	2000
60a1e78bca6d054be353758f	732781	10.5	main	slash	21	rectangle	global	LVF	yes	present	1	698
60a1e78bca6d054be353758f	734413	10.5	main	slash	22	rectangle	local	LVF	yes	present	1	695
