subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60d8c6bc9686529cdc824a49	687475	9.5	practice	z	1	rectangle	local	RVF	yes	present	1	985
60d8c6bc9686529cdc824a49	691634	9.5	practice	z	2	absent	absent	absent	no	present	0	1262
60d8c6bc9686529cdc824a49	696290	9.5	practice	z	3	rectangle	local	RVF	yes	absent	0	2000
60d8c6bc9686529cdc824a49	700550	9.5	practice	z	4	rectangle	global	RVF	yes	present	1	1294
60d8c6bc9686529cdc824a49	704306	9.5	practice	z	5	rectangle	global	LVF	yes	present	1	1349
60d8c6bc9686529cdc824a49	708923	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	713713	9.5	practice	z	7	square	global	RVF	yes	present	1	1008
60d8c6bc9686529cdc824a49	719170	9.5	practice	z	8	absent	absent	absent	no	present	0	1282
60d8c6bc9686529cdc824a49	722562	9.5	practice	z	9	square	local	LVF	yes	present	1	1240
60d8c6bc9686529cdc824a49	726084	9.5	practice	z	10	rectangle	local	RVF	yes	present	1	1246
60d8c6bc9686529cdc824a49	729450	9.5	practice	z	11	rectangle	global	RVF	yes	present	1	844
60d8c6bc9686529cdc824a49	732425	9.5	practice	z	12	square	global	LVF	yes	present	1	736
60d8c6bc9686529cdc824a49	735287	9.5	practice	z	13	square	global	LVF	yes	present	1	665
60d8c6bc9686529cdc824a49	739373	9.5	practice	z	14	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	742605	9.5	practice	z	15	rectangle	global	LVF	yes	present	1	1066
60d8c6bc9686529cdc824a49	745927	9.5	practice	z	16	square	local	LVF	yes	present	1	1056
60d8c6bc9686529cdc824a49	756321	10.5	main	z	1	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	758599	10.5	main	z	2	rectangle	global	LVF	yes	present	1	978
60d8c6bc9686529cdc824a49	762727	10.5	main	z	3	rectangle	global	LVF	yes	present	1	1923
60d8c6bc9686529cdc824a49	765598	10.5	main	z	4	square	local	LVF	yes	present	1	1144
60d8c6bc9686529cdc824a49	768181	10.5	main	z	5	square	local	LVF	yes	present	1	960
60d8c6bc9686529cdc824a49	771621	10.5	main	z	6	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	774821	10.5	main	z	7	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	777269	10.5	main	z	8	square	global	RVF	yes	present	1	1165
60d8c6bc9686529cdc824a49	780327	10.5	main	z	9	square	local	LVF	yes	present	1	1357
60d8c6bc9686529cdc824a49	783826	10.5	main	z	10	rectangle	global	RVF	yes	present	1	1305
60d8c6bc9686529cdc824a49	786662	10.5	main	z	11	square	global	RVF	yes	present	1	1158
60d8c6bc9686529cdc824a49	789624	10.5	main	z	12	rectangle	local	LVF	yes	present	1	1287
60d8c6bc9686529cdc824a49	793004	10.5	main	z	13	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	795633	10.5	main	z	14	square	local	LVF	yes	present	1	1546
60d8c6bc9686529cdc824a49	797887	10.5	main	z	15	square	global	RVF	yes	present	1	934
60d8c6bc9686529cdc824a49	801037	10.5	main	z	16	square	global	LVF	yes	absent	0	2000
60d8c6bc9686529cdc824a49	803531	10.5	main	z	17	square	local	RVF	yes	present	1	894
60d8c6bc9686529cdc824a49	806042	10.5	main	z	18	rectangle	local	LVF	yes	present	1	1122
60d8c6bc9686529cdc824a49	808344	10.5	main	z	19	square	local	RVF	yes	present	1	891
60d8c6bc9686529cdc824a49	810435	10.5	main	z	20	rectangle	global	RVF	yes	present	1	965
60d8c6bc9686529cdc824a49	812941	10.5	main	z	21	absent	absent	absent	no	present	0	1005
60d8c6bc9686529cdc824a49	815242	10.5	main	z	22	rectangle	local	LVF	yes	present	1	872
60d8c6bc9686529cdc824a49	817506	10.5	main	z	23	rectangle	local	RVF	yes	present	1	853
60d8c6bc9686529cdc824a49	819961	10.5	main	z	24	rectangle	local	RVF	yes	present	1	992
60d8c6bc9686529cdc824a49	823553	10.5	main	z	25	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	826703	10.5	main	z	26	square	local	RVF	yes	absent	0	2000
60d8c6bc9686529cdc824a49	828738	10.5	main	z	27	rectangle	local	RVF	yes	present	1	785
60d8c6bc9686529cdc824a49	831452	10.5	main	z	28	absent	absent	absent	no	present	0	1516
60d8c6bc9686529cdc824a49	842376	10.5	main	z	29	square	global	LVF	yes	present	1	1524
60d8c6bc9686529cdc824a49	845699	10.5	main	z	30	square	global	RVF	yes	present	1	1213
60d8c6bc9686529cdc824a49	848187	10.5	main	z	31	rectangle	global	LVF	yes	present	1	800
60d8c6bc9686529cdc824a49	850969	10.5	main	z	32	square	local	RVF	yes	present	1	1100
60d8c6bc9686529cdc824a49	854147	10.5	main	z	33	square	global	LVF	yes	present	1	1845
60d8c6bc9686529cdc824a49	856339	10.5	main	z	34	square	global	LVF	yes	present	1	854
60d8c6bc9686529cdc824a49	858256	10.5	main	z	35	rectangle	global	LVF	yes	present	1	704
60d8c6bc9686529cdc824a49	860483	10.5	main	z	36	rectangle	local	LVF	yes	present	1	981
60d8c6bc9686529cdc824a49	863686	10.5	main	z	37	absent	absent	absent	no	absent	1	2000
60d8c6bc9686529cdc824a49	865659	10.5	main	z	38	rectangle	global	RVF	yes	present	1	874
60d8c6bc9686529cdc824a49	868446	10.5	main	z	39	rectangle	local	RVF	yes	present	1	1061
60d8c6bc9686529cdc824a49	871046	10.5	main	z	40	rectangle	global	RVF	yes	present	1	1028
