subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60f4e3ab507bbb123f866e88	266146	1	practice	z	1	square	local	LVF	yes	present	1	719
60f4e3ab507bbb123f866e88	272405	1	practice	z	2	rectangle	local	RVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	277255	1	practice	z	3	absent	absent	absent	no	absent	1	2000
60f4e3ab507bbb123f866e88	280532	1	practice	z	4	rectangle	global	LVF	yes	present	1	957
60f4e3ab507bbb123f866e88	283681	1	practice	z	5	rectangle	global	RVF	yes	present	1	788
60f4e3ab507bbb123f866e88	286707	1	practice	z	6	rectangle	global	LVF	yes	present	1	666
60f4e3ab507bbb123f866e88	290034	1	practice	z	7	square	global	RVF	yes	present	1	942
60f4e3ab507bbb123f866e88	293161	1	practice	z	8	absent	absent	absent	no	present	0	834
60f4e3ab507bbb123f866e88	296579	1	practice	z	9	absent	absent	absent	no	present	0	953
60f4e3ab507bbb123f866e88	299667	1	practice	z	10	rectangle	global	RVF	yes	present	1	741
60f4e3ab507bbb123f866e88	302788	1	practice	z	11	square	global	LVF	yes	present	1	894
60f4e3ab507bbb123f866e88	305734	1	practice	z	12	rectangle	local	RVF	yes	present	1	756
60f4e3ab507bbb123f866e88	308918	1	practice	z	13	square	global	LVF	yes	present	1	1041
60f4e3ab507bbb123f866e88	311877	1	practice	z	14	absent	absent	absent	no	present	0	750
60f4e3ab507bbb123f866e88	314673	1	practice	z	15	rectangle	local	RVF	yes	present	1	494
60f4e3ab507bbb123f866e88	317393	1	practice	z	16	square	local	LVF	yes	present	1	549
60f4e3ab507bbb123f866e88	458339	2	main	z	1	rectangle	local	LVF	yes	present	1	352
60f4e3ab507bbb123f866e88	461048	2	main	z	2	absent	absent	absent	no	present	0	1060
60f4e3ab507bbb123f866e88	463632	2	main	z	3	square	local	LVF	yes	present	1	1196
60f4e3ab507bbb123f866e88	467703	2	main	z	4	rectangle	local	LVF	yes	present	1	1067
60f4e3ab507bbb123f866e88	470985	2	main	z	5	rectangle	global	LVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	474052	2	main	z	6	rectangle	global	LVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	475929	2	main	z	7	rectangle	global	RVF	yes	present	1	741
60f4e3ab507bbb123f866e88	478393	2	main	z	8	square	global	LVF	yes	present	1	1173
60f4e3ab507bbb123f866e88	482185	2	main	z	9	square	global	LVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	484742	2	main	z	10	absent	absent	absent	no	present	0	1486
60f4e3ab507bbb123f866e88	486953	2	main	z	11	square	local	RVF	yes	present	1	1014
60f4e3ab507bbb123f866e88	489255	2	main	z	12	square	local	LVF	yes	present	1	899
60f4e3ab507bbb123f866e88	492570	2	main	z	13	rectangle	local	RVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	494691	2	main	z	14	square	global	LVF	yes	present	1	885
60f4e3ab507bbb123f866e88	498070	2	main	z	15	rectangle	global	LVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	500278	2	main	z	16	rectangle	local	RVF	yes	present	1	905
60f4e3ab507bbb123f866e88	502823	2	main	z	17	square	global	RVF	yes	present	1	1117
60f4e3ab507bbb123f866e88	505681	2	main	z	18	rectangle	local	LVF	yes	present	1	875
60f4e3ab507bbb123f866e88	509337	2	main	z	19	rectangle	global	LVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	512491	2	main	z	20	square	global	RVF	yes	present	1	851
60f4e3ab507bbb123f866e88	514797	2	main	z	21	square	local	LVF	yes	present	1	857
60f4e3ab507bbb123f866e88	516964	2	main	z	22	square	global	RVF	yes	present	1	790
60f4e3ab507bbb123f866e88	520355	2	main	z	23	absent	absent	absent	no	absent	1	2000
60f4e3ab507bbb123f866e88	522557	2	main	z	24	rectangle	local	LVF	yes	present	1	999
60f4e3ab507bbb123f866e88	524891	2	main	z	25	square	local	LVF	yes	present	1	982
60f4e3ab507bbb123f866e88	527381	2	main	z	26	rectangle	local	RVF	yes	present	1	989
60f4e3ab507bbb123f866e88	530006	2	main	z	27	rectangle	local	RVF	yes	present	1	1114
60f4e3ab507bbb123f866e88	532632	2	main	z	28	square	local	RVF	yes	present	1	1091
60f4e3ab507bbb123f866e88	536188	2	main	z	29	rectangle	global	RVF	yes	absent	0	2000
60f4e3ab507bbb123f866e88	538820	2	main	z	30	absent	absent	absent	no	present	0	928
60f4e3ab507bbb123f866e88	542123	2	main	z	31	absent	absent	absent	no	absent	1	2000
