subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60fd80c426ac8c2b5da717b7	630558	9.5	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	635097	9.5	practice	z	2	absent	absent	absent	no	present	0	618
60fd80c426ac8c2b5da717b7	639664	9.5	practice	z	3	square	global	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	642939	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	506
60fd80c426ac8c2b5da717b7	647921	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	399
60fd80c426ac8c2b5da717b7	651387	9.5	practice	z	6	rectangle	global	LVF	yes	present	1	364
60fd80c426ac8c2b5da717b7	654154	9.5	practice	z	7	square	global	RVF	yes	present	1	398
60fd80c426ac8c2b5da717b7	657011	9.5	practice	z	8	rectangle	global	LVF	yes	present	1	334
60fd80c426ac8c2b5da717b7	661324	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	664034	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	307
60fd80c426ac8c2b5da717b7	668718	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	672234	9.5	practice	z	12	square	local	LVF	yes	present	1	715
60fd80c426ac8c2b5da717b7	676701	9.5	practice	z	13	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	681006	9.5	practice	z	14	square	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	683951	9.5	practice	z	15	rectangle	local	RVF	yes	present	1	425
60fd80c426ac8c2b5da717b7	686639	9.5	practice	z	16	square	global	LVF	yes	present	1	535
60fd80c426ac8c2b5da717b7	699534	10.5	main	z	1	square	global	LVF	yes	present	1	334
60fd80c426ac8c2b5da717b7	702332	10.5	main	z	2	rectangle	local	RVF	yes	present	1	340
60fd80c426ac8c2b5da717b7	704743	10.5	main	z	3	square	global	RVF	yes	present	1	326
60fd80c426ac8c2b5da717b7	707836	10.5	main	z	4	square	local	RVF	yes	present	1	355
60fd80c426ac8c2b5da717b7	710134	10.5	main	z	5	square	local	LVF	yes	present	1	344
60fd80c426ac8c2b5da717b7	712308	10.5	main	z	6	square	global	LVF	yes	present	1	469
60fd80c426ac8c2b5da717b7	714987	10.5	main	z	7	square	global	RVF	yes	present	1	557
60fd80c426ac8c2b5da717b7	717468	10.5	main	z	8	rectangle	global	RVF	yes	present	1	346
60fd80c426ac8c2b5da717b7	721468	10.5	main	z	9	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	723791	10.5	main	z	10	square	global	RVF	yes	present	1	637
60fd80c426ac8c2b5da717b7	727404	10.5	main	z	11	square	local	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	729150	10.5	main	z	12	square	local	RVF	yes	present	1	495
60fd80c426ac8c2b5da717b7	731377	10.5	main	z	13	square	global	LVF	yes	present	1	561
60fd80c426ac8c2b5da717b7	733670	10.5	main	z	14	rectangle	local	RVF	yes	present	1	593
60fd80c426ac8c2b5da717b7	735871	10.5	main	z	15	square	local	RVF	yes	present	1	520
60fd80c426ac8c2b5da717b7	738270	10.5	main	z	16	rectangle	local	LVF	yes	present	1	651
60fd80c426ac8c2b5da717b7	741892	10.5	main	z	17	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	745283	10.5	main	z	18	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	748435	10.5	main	z	19	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	750264	10.5	main	z	20	square	global	LVF	yes	present	1	659
60fd80c426ac8c2b5da717b7	752234	10.5	main	z	21	rectangle	global	LVF	yes	present	1	437
60fd80c426ac8c2b5da717b7	755599	10.5	main	z	22	square	local	LVF	yes	present	1	1026
60fd80c426ac8c2b5da717b7	759372	10.5	main	z	23	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	781591	10.5	main	z	24	rectangle	global	LVF	yes	present	1	423
60fd80c426ac8c2b5da717b7	783757	10.5	main	z	25	rectangle	local	LVF	yes	present	1	539
60fd80c426ac8c2b5da717b7	785804	10.5	main	z	26	rectangle	local	LVF	yes	present	1	485
60fd80c426ac8c2b5da717b7	789191	10.5	main	z	27	rectangle	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	791121	10.5	main	z	28	rectangle	local	RVF	yes	present	1	639
60fd80c426ac8c2b5da717b7	792957	10.5	main	z	29	rectangle	global	RVF	yes	present	1	457
60fd80c426ac8c2b5da717b7	794730	10.5	main	z	30	rectangle	local	RVF	yes	present	1	423
60fd80c426ac8c2b5da717b7	796951	10.5	main	z	31	rectangle	local	LVF	yes	present	1	871
60fd80c426ac8c2b5da717b7	798792	10.5	main	z	32	square	local	LVF	yes	present	1	487
60fd80c426ac8c2b5da717b7	802153	10.5	main	z	33	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	805453	10.5	main	z	34	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	808570	10.5	main	z	35	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	809927	10.5	main	z	36	rectangle	global	RVF	yes	present	1	388
60fd80c426ac8c2b5da717b7	811566	10.5	main	z	37	square	global	RVF	yes	present	1	388
60fd80c426ac8c2b5da717b7	813351	10.5	main	z	38	square	local	LVF	yes	present	1	568
60fd80c426ac8c2b5da717b7	814950	10.5	main	z	39	rectangle	global	LVF	yes	present	1	401
60fd80c426ac8c2b5da717b7	817206	10.5	main	z	40	rectangle	global	LVF	yes	present	1	940
60fd80c426ac8c2b5da717b7	819009	10.5	main	z	41	rectangle	local	RVF	yes	present	1	512
60fd80c426ac8c2b5da717b7	820660	10.5	main	z	42	rectangle	local	RVF	yes	present	1	430
60fd80c426ac8c2b5da717b7	822454	10.5	main	z	43	rectangle	local	LVF	yes	present	1	678
60fd80c426ac8c2b5da717b7	824175	10.5	main	z	44	rectangle	global	LVF	yes	present	1	493
60fd80c426ac8c2b5da717b7	827280	10.5	main	z	45	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	829539	10.5	main	z	46	rectangle	global	LVF	yes	present	1	1047
60fd80c426ac8c2b5da717b7	832864	10.5	main	z	47	square	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	834575	10.5	main	z	48	square	local	LVF	yes	present	1	662
60fd80c426ac8c2b5da717b7	836580	10.5	main	z	49	square	global	LVF	yes	present	1	807
60fd80c426ac8c2b5da717b7	839765	10.5	main	z	50	square	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	841367	10.5	main	z	51	rectangle	global	LVF	yes	present	1	576
60fd80c426ac8c2b5da717b7	844581	10.5	main	z	52	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	846163	10.5	main	z	53	rectangle	global	RVF	yes	present	1	383
60fd80c426ac8c2b5da717b7	847766	10.5	main	z	54	square	global	LVF	yes	present	1	395
60fd80c426ac8c2b5da717b7	849826	10.5	main	z	55	square	local	RVF	yes	present	1	941
60fd80c426ac8c2b5da717b7	852958	10.5	main	z	56	rectangle	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	856075	10.5	main	z	57	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	859059	10.5	main	z	58	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	860745	10.5	main	z	59	square	local	LVF	yes	present	1	718
60fd80c426ac8c2b5da717b7	863959	10.5	main	z	60	square	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	866975	10.5	main	z	61	square	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	869975	10.5	main	z	62	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	873061	10.5	main	z	63	rectangle	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	874362	10.5	main	z	64	square	global	RVF	yes	present	1	385
60fd80c426ac8c2b5da717b7	876017	10.5	main	z	65	rectangle	global	RVF	yes	present	1	401
60fd80c426ac8c2b5da717b7	879087	10.5	main	z	66	rectangle	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	882094	10.5	main	z	67	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	885051	10.5	main	z	68	rectangle	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	888117	10.5	main	z	69	rectangle	local	LVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	889703	10.5	main	z	70	square	global	LVF	yes	present	1	635
60fd80c426ac8c2b5da717b7	892974	10.5	main	z	71	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	896010	10.5	main	z	72	square	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	897855	10.5	main	z	73	square	local	RVF	yes	present	1	636
60fd80c426ac8c2b5da717b7	899641	10.5	main	z	74	rectangle	global	LVF	yes	present	1	487
60fd80c426ac8c2b5da717b7	901488	10.5	main	z	75	rectangle	local	RVF	yes	present	1	595
60fd80c426ac8c2b5da717b7	903186	10.5	main	z	76	square	local	RVF	yes	present	1	501
60fd80c426ac8c2b5da717b7	904759	10.5	main	z	77	square	local	RVF	yes	present	1	424
60fd80c426ac8c2b5da717b7	906335	10.5	main	z	78	rectangle	local	RVF	yes	present	1	382
60fd80c426ac8c2b5da717b7	909560	10.5	main	z	79	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	911221	10.5	main	z	80	square	global	LVF	yes	present	1	536
60fd80c426ac8c2b5da717b7	997683	11.5	practice	slash	1	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1001018	11.5	practice	slash	2	rectangle	local	RVF	yes	present	1	348
60fd80c426ac8c2b5da717b7	1005318	11.5	practice	slash	3	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1008058	11.5	practice	slash	4	square	local	LVF	yes	present	1	528
60fd80c426ac8c2b5da717b7	1012296	11.5	practice	slash	5	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1014910	11.5	practice	slash	6	square	global	LVF	yes	present	1	487
60fd80c426ac8c2b5da717b7	1019018	11.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1021671	11.5	practice	slash	8	rectangle	local	RVF	yes	present	1	413
60fd80c426ac8c2b5da717b7	1025756	11.5	practice	slash	9	rectangle	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	1029755	11.5	practice	slash	10	square	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	1032172	11.5	practice	slash	11	rectangle	global	LVF	yes	present	1	428
60fd80c426ac8c2b5da717b7	1034624	11.5	practice	slash	12	rectangle	global	RVF	yes	present	1	340
60fd80c426ac8c2b5da717b7	1037015	11.5	practice	slash	13	rectangle	global	LVF	yes	present	1	350
60fd80c426ac8c2b5da717b7	1039401	11.5	practice	slash	14	square	global	LVF	yes	present	1	376
60fd80c426ac8c2b5da717b7	1041826	11.5	practice	slash	15	rectangle	local	RVF	yes	present	1	340
60fd80c426ac8c2b5da717b7	1044366	11.5	practice	slash	16	square	local	LVF	yes	present	1	615
60fd80c426ac8c2b5da717b7	1049549	12.5	main	slash	1	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1051411	12.5	main	slash	2	rectangle	local	LVF	yes	present	1	656
60fd80c426ac8c2b5da717b7	1053110	12.5	main	slash	3	square	global	LVF	yes	present	1	331
60fd80c426ac8c2b5da717b7	1056427	12.5	main	slash	4	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1059527	12.5	main	slash	5	absent	absent	absent	no	absent	1	2000
60fd80c426ac8c2b5da717b7	1060813	12.5	main	slash	6	square	local	RVF	yes	present	1	360
60fd80c426ac8c2b5da717b7	1062468	12.5	main	slash	7	square	local	LVF	yes	present	1	386
60fd80c426ac8c2b5da717b7	1064114	12.5	main	slash	8	rectangle	local	RVF	yes	present	1	386
60fd80c426ac8c2b5da717b7	1065615	12.5	main	slash	9	rectangle	global	RVF	yes	present	1	358
60fd80c426ac8c2b5da717b7	1068795	12.5	main	slash	10	square	global	RVF	yes	absent	0	2000
60fd80c426ac8c2b5da717b7	1070276	12.5	main	slash	11	square	global	RVF	yes	present	1	379
60fd80c426ac8c2b5da717b7	1072191	12.5	main	slash	12	square	local	RVF	yes	present	1	482
60fd80c426ac8c2b5da717b7	1073901	12.5	main	slash	13	rectangle	global	LVF	yes	present	1	441
60fd80c426ac8c2b5da717b7	1075548	12.5	main	slash	14	rectangle	global	LVF	yes	present	1	481
60fd80c426ac8c2b5da717b7	1190054	12.5	main	slash	15	square	local	RVF	yes	present	1	255
60fd80c426ac8c2b5da717b7	1191624	12.5	main	slash	16	square	local	LVF	yes	present	1	301
60fd80c426ac8c2b5da717b7	1193090	12.5	main	slash	17	square	global	RVF	yes	present	1	309
60fd80c426ac8c2b5da717b7	1194524	12.5	main	slash	18	rectangle	global	RVF	yes	present	1	319
60fd80c426ac8c2b5da717b7	1196282	12.5	main	slash	19	rectangle	local	LVF	yes	present	1	547
