subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60fef79fa408c9eae61e49c3	139812	1	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
60fef79fa408c9eae61e49c3	145294	1	practice	z	2	rectangle	global	RVF	yes	absent	0	2000
60fef79fa408c9eae61e49c3	151164	1	practice	z	3	square	local	LVF	yes	present	1	800
60fef79fa408c9eae61e49c3	155405	1	practice	z	4	rectangle	global	RVF	yes	present	1	1898
60fef79fa408c9eae61e49c3	164885	1	practice	z	5	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	167903	1	practice	z	6	rectangle	local	RVF	yes	present	1	1010
60fef79fa408c9eae61e49c3	171570	1	practice	z	7	rectangle	global	LVF	yes	present	1	1485
60fef79fa408c9eae61e49c3	175385	1	practice	z	8	square	global	LVF	yes	present	1	1574
60fef79fa408c9eae61e49c3	178852	1	practice	z	9	square	global	LVF	yes	present	1	1378
60fef79fa408c9eae61e49c3	182112	1	practice	z	10	rectangle	local	RVF	yes	present	1	1181
60fef79fa408c9eae61e49c3	185765	1	practice	z	11	square	local	LVF	yes	present	1	1418
60fef79fa408c9eae61e49c3	190031	1	practice	z	12	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	193656	1	practice	z	13	square	global	RVF	yes	present	1	1042
60fef79fa408c9eae61e49c3	200569	1	practice	z	14	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	204769	1	practice	z	15	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	208224	1	practice	z	16	rectangle	global	LVF	yes	present	1	1273
60fef79fa408c9eae61e49c3	241095	2	main	z	1	rectangle	global	LVF	yes	present	1	736
60fef79fa408c9eae61e49c3	245688	2	main	z	2	rectangle	local	RVF	yes	present	1	1095
60fef79fa408c9eae61e49c3	249141	2	main	z	3	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	252331	2	main	z	4	square	global	RVF	yes	absent	0	2000
60fef79fa408c9eae61e49c3	254902	2	main	z	5	rectangle	local	RVF	yes	present	1	1039
60fef79fa408c9eae61e49c3	257569	2	main	z	6	square	local	RVF	yes	present	1	1016
60fef79fa408c9eae61e49c3	261289	2	main	z	7	square	local	LVF	yes	absent	0	2000
60fef79fa408c9eae61e49c3	263112	2	main	z	8	rectangle	global	RVF	yes	present	1	1096
60fef79fa408c9eae61e49c3	265434	2	main	z	9	rectangle	local	LVF	yes	present	1	1079
60fef79fa408c9eae61e49c3	268458	2	main	z	10	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	270941	2	main	z	11	rectangle	global	LVF	yes	present	1	1321
60fef79fa408c9eae61e49c3	274507	2	main	z	12	absent	absent	absent	no	absent	1	2000
60fef79fa408c9eae61e49c3	276689	2	main	z	13	square	local	LVF	yes	present	1	1102
