subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6111949dc977e72c3f9e7335	131988	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
6111949dc977e72c3f9e7335	136092	1	practice	slash	2	absent	absent	absent	no	present	0	1341
6111949dc977e72c3f9e7335	138886	1	practice	slash	3	square	global	LVF	yes	present	1	317
6111949dc977e72c3f9e7335	141781	1	practice	slash	4	rectangle	local	RVF	yes	present	1	367
6111949dc977e72c3f9e7335	144553	1	practice	slash	5	absent	absent	absent	no	present	0	503
6111949dc977e72c3f9e7335	147075	1	practice	slash	6	square	global	RVF	yes	present	1	362
6111949dc977e72c3f9e7335	149709	1	practice	slash	7	square	local	LVF	yes	present	1	563
6111949dc977e72c3f9e7335	152916	1	practice	slash	8	rectangle	global	RVF	yes	present	1	461
6111949dc977e72c3f9e7335	155486	1	practice	slash	9	rectangle	global	LVF	yes	present	1	383
6111949dc977e72c3f9e7335	158413	1	practice	slash	10	square	local	LVF	yes	present	1	639
6111949dc977e72c3f9e7335	161451	1	practice	slash	11	rectangle	local	RVF	yes	present	1	270
6111949dc977e72c3f9e7335	165441	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6111949dc977e72c3f9e7335	168766	1	practice	slash	13	square	global	LVF	yes	present	1	704
6111949dc977e72c3f9e7335	171493	1	practice	slash	14	rectangle	global	LVF	yes	present	1	520
6111949dc977e72c3f9e7335	173991	1	practice	slash	15	rectangle	local	RVF	yes	present	1	383
6111949dc977e72c3f9e7335	176698	1	practice	slash	16	rectangle	global	RVF	yes	present	1	942
6111949dc977e72c3f9e7335	182468	2	main	slash	1	rectangle	local	RVF	yes	absent	0	2000
6111949dc977e72c3f9e7335	184726	2	main	slash	2	absent	absent	absent	no	present	0	527
6111949dc977e72c3f9e7335	187558	2	main	slash	3	absent	absent	absent	no	present	0	881
6111949dc977e72c3f9e7335	190237	2	main	slash	4	rectangle	global	LVF	yes	present	1	857
6111949dc977e72c3f9e7335	192554	2	main	slash	5	square	local	LVF	yes	present	1	522
6111949dc977e72c3f9e7335	194750	2	main	slash	6	square	local	RVF	yes	present	1	521
6111949dc977e72c3f9e7335	196533	2	main	slash	7	absent	absent	absent	no	present	0	353
6111949dc977e72c3f9e7335	198827	2	main	slash	8	square	global	RVF	yes	present	1	683
6111949dc977e72c3f9e7335	201075	2	main	slash	9	square	global	LVF	yes	present	1	566
6111949dc977e72c3f9e7335	203313	2	main	slash	10	rectangle	global	RVF	yes	present	1	366
6111949dc977e72c3f9e7335	205369	2	main	slash	11	absent	absent	absent	no	present	0	257
6111949dc977e72c3f9e7335	209041	2	main	slash	12	absent	absent	absent	no	absent	1	2000
6111949dc977e72c3f9e7335	211236	2	main	slash	13	square	local	LVF	yes	present	1	1034
6111949dc977e72c3f9e7335	213443	2	main	slash	14	rectangle	local	LVF	yes	present	1	530
6111949dc977e72c3f9e7335	215602	2	main	slash	15	square	global	LVF	yes	present	1	357
6111949dc977e72c3f9e7335	217592	2	main	slash	16	rectangle	local	RVF	yes	present	1	466
