subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
612df6ef33e1afb850d6d56f	909085	9.5	practice	z	1	square	global	LVF	yes	absent	0	2000
612df6ef33e1afb850d6d56f	913854	9.5	practice	z	2	rectangle	global	LVF	yes	absent	0	2000
612df6ef33e1afb850d6d56f	917330	9.5	practice	z	3	square	local	LVF	yes	present	1	763
612df6ef33e1afb850d6d56f	920448	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	897
612df6ef33e1afb850d6d56f	924602	9.5	practice	z	5	square	global	LVF	yes	absent	0	2000
612df6ef33e1afb850d6d56f	927379	9.5	practice	z	6	rectangle	global	RVF	yes	present	1	811
612df6ef33e1afb850d6d56f	930260	9.5	practice	z	7	rectangle	local	RVF	yes	present	1	792
612df6ef33e1afb850d6d56f	934519	9.5	practice	z	8	absent	absent	absent	no	absent	1	2000
612df6ef33e1afb850d6d56f	938205	9.5	practice	z	9	rectangle	local	RVF	yes	present	1	769
612df6ef33e1afb850d6d56f	941372	9.5	practice	z	10	rectangle	global	LVF	yes	present	1	904
612df6ef33e1afb850d6d56f	944650	9.5	practice	z	11	absent	absent	absent	no	present	0	980
612df6ef33e1afb850d6d56f	947548	9.5	practice	z	12	square	local	LVF	yes	present	1	813
612df6ef33e1afb850d6d56f	950429	9.5	practice	z	13	square	global	RVF	yes	present	1	778
612df6ef33e1afb850d6d56f	954451	9.5	practice	z	14	absent	absent	absent	no	absent	1	2000
612df6ef33e1afb850d6d56f	957578	9.5	practice	z	15	absent	absent	absent	no	present	0	1009
612df6ef33e1afb850d6d56f	960638	9.5	practice	z	16	rectangle	global	RVF	yes	present	1	769
612df6ef33e1afb850d6d56f	969426	10.5	main	z	1	rectangle	global	LVF	yes	present	1	910
612df6ef33e1afb850d6d56f	971567	10.5	main	z	2	square	global	LVF	yes	present	1	752
612df6ef33e1afb850d6d56f	976398	10.5	main	z	3	square	local	LVF	yes	present	1	649
612df6ef33e1afb850d6d56f	978521	10.5	main	z	4	rectangle	global	LVF	yes	present	1	421
