subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
61fa945e5719bc09cb834f15	152885	1	practice	z	1	square	global	RVF	yes	absent	0	2000
61fa945e5719bc09cb834f15	157773	1	practice	z	2	rectangle	global	LVF	yes	present	1	809
61fa945e5719bc09cb834f15	162338	1	practice	z	3	absent	absent	absent	no	present	0	1847
61fa945e5719bc09cb834f15	165721	1	practice	z	4	rectangle	global	LVF	yes	present	1	1018
61fa945e5719bc09cb834f15	169910	1	practice	z	5	absent	absent	absent	no	absent	1	2000
61fa945e5719bc09cb834f15	173057	1	practice	z	6	square	global	LVF	yes	present	1	1028
61fa945e5719bc09cb834f15	176043	1	practice	z	7	square	global	LVF	yes	present	1	882
61fa945e5719bc09cb834f15	180096	1	practice	z	8	square	local	LVF	yes	absent	0	2000
61fa945e5719bc09cb834f15	183108	1	practice	z	9	rectangle	local	RVF	yes	present	1	970
61fa945e5719bc09cb834f15	186135	1	practice	z	10	absent	absent	absent	no	present	0	986
61fa945e5719bc09cb834f15	188898	1	practice	z	11	rectangle	local	RVF	yes	present	1	708
61fa945e5719bc09cb834f15	191738	1	practice	z	12	rectangle	global	RVF	yes	present	1	806
61fa945e5719bc09cb834f15	194999	1	practice	z	13	square	local	LVF	yes	present	1	1137
61fa945e5719bc09cb834f15	198139	1	practice	z	14	rectangle	global	RVF	yes	present	1	1109
61fa945e5719bc09cb834f15	201148	1	practice	z	15	rectangle	local	RVF	yes	present	1	922
61fa945e5719bc09cb834f15	203623	1	practice	z	16	absent	absent	absent	no	present	0	812
61fa945e5719bc09cb834f15	208769	2	main	z	1	rectangle	global	RVF	yes	present	1	610
61fa945e5719bc09cb834f15	211316	2	main	z	2	rectangle	global	RVF	yes	present	1	905
61fa945e5719bc09cb834f15	214752	2	main	z	3	absent	absent	absent	no	absent	1	2000
61fa945e5719bc09cb834f15	216535	2	main	z	4	square	global	RVF	yes	present	1	567
61fa945e5719bc09cb834f15	219820	2	main	z	5	absent	absent	absent	no	absent	1	2000
61fa945e5719bc09cb834f15	221712	2	main	z	6	rectangle	local	RVF	yes	present	1	736
61fa945e5719bc09cb834f15	223772	2	main	z	7	square	local	RVF	yes	present	1	865
61fa945e5719bc09cb834f15	225864	2	main	z	8	square	local	LVF	yes	present	1	1018
61fa945e5719bc09cb834f15	228234	2	main	z	9	rectangle	global	RVF	yes	present	1	1322
61fa945e5719bc09cb834f15	231282	2	main	z	10	rectangle	local	RVF	yes	present	1	1708
61fa945e5719bc09cb834f15	234442	2	main	z	11	rectangle	local	LVF	yes	absent	0	2000
61fa945e5719bc09cb834f15	236357	2	main	z	12	square	local	LVF	yes	present	1	856
61fa945e5719bc09cb834f15	238994	2	main	z	13	rectangle	local	LVF	yes	present	1	1574
61fa945e5719bc09cb834f15	240953	2	main	z	14	square	local	LVF	yes	present	1	884
61fa945e5719bc09cb834f15	243001	2	main	z	15	rectangle	global	LVF	yes	present	1	867
61fa945e5719bc09cb834f15	246512	2	main	z	16	rectangle	local	RVF	yes	present	1	1946
