subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62824c37f4cc437ab86e0ae6	1005214	9.5	practice	slash	1	rectangle	global	LVF	yes	present	1	848
62824c37f4cc437ab86e0ae6	1016521	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	1022
62824c37f4cc437ab86e0ae6	1019911	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	863
62824c37f4cc437ab86e0ae6	1022877	9.5	practice	slash	4	rectangle	global	RVF	yes	present	1	579
62824c37f4cc437ab86e0ae6	1028765	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1031865	9.5	practice	slash	6	rectangle	global	LVF	yes	present	1	618
62824c37f4cc437ab86e0ae6	1036798	9.5	practice	slash	7	square	local	LVF	yes	present	1	934
62824c37f4cc437ab86e0ae6	1041198	9.5	practice	slash	8	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1044967	9.5	practice	slash	9	square	global	LVF	yes	present	1	920
62824c37f4cc437ab86e0ae6	1047744	9.5	practice	slash	10	square	global	LVF	yes	present	1	680
62824c37f4cc437ab86e0ae6	1050834	9.5	practice	slash	11	rectangle	global	RVF	yes	present	1	622
62824c37f4cc437ab86e0ae6	1056780	9.5	practice	slash	12	rectangle	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1061696	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1064625	9.5	practice	slash	14	square	global	RVF	yes	present	1	630
62824c37f4cc437ab86e0ae6	1069146	9.5	practice	slash	15	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1073346	9.5	practice	slash	16	square	local	LVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1084406	10.5	main	slash	1	square	global	LVF	yes	present	1	446
62824c37f4cc437ab86e0ae6	1094360	10.5	main	slash	2	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1102126	10.5	main	slash	3	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1105859	10.5	main	slash	4	square	local	LVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1108804	10.5	main	slash	5	absent	absent	absent	no	present	0	1544
62824c37f4cc437ab86e0ae6	1114958	10.5	main	slash	6	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1117445	10.5	main	slash	7	square	local	RVF	yes	present	1	919
62824c37f4cc437ab86e0ae6	1122875	10.5	main	slash	8	rectangle	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1127005	10.5	main	slash	9	rectangle	global	LVF	yes	present	1	514
62824c37f4cc437ab86e0ae6	1129374	10.5	main	slash	10	rectangle	global	LVF	yes	present	1	400
62824c37f4cc437ab86e0ae6	1132044	10.5	main	slash	11	square	local	RVF	yes	present	1	787
62824c37f4cc437ab86e0ae6	1134630	10.5	main	slash	12	rectangle	local	LVF	yes	present	1	790
62824c37f4cc437ab86e0ae6	1141274	10.5	main	slash	13	rectangle	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1143313	10.5	main	slash	14	square	local	RVF	yes	present	1	506
62824c37f4cc437ab86e0ae6	1145566	10.5	main	slash	15	square	global	RVF	yes	present	1	560
62824c37f4cc437ab86e0ae6	1149657	10.5	main	slash	16	square	global	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1152630	10.5	main	slash	17	square	global	LVF	yes	present	1	423
62824c37f4cc437ab86e0ae6	1154667	10.5	main	slash	18	square	global	LVF	yes	present	1	594
62824c37f4cc437ab86e0ae6	1158390	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1162065	10.5	main	slash	20	rectangle	local	LVF	yes	present	1	1209
62824c37f4cc437ab86e0ae6	1164317	10.5	main	slash	21	square	global	RVF	yes	present	1	512
62824c37f4cc437ab86e0ae6	1168613	10.5	main	slash	22	rectangle	global	RVF	yes	present	1	324
62824c37f4cc437ab86e0ae6	1170689	10.5	main	slash	23	rectangle	global	RVF	yes	present	1	351
62824c37f4cc437ab86e0ae6	1172387	10.5	main	slash	24	square	global	RVF	yes	present	1	314
62824c37f4cc437ab86e0ae6	1175822	10.5	main	slash	25	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1177764	10.5	main	slash	26	rectangle	global	RVF	yes	present	1	393
62824c37f4cc437ab86e0ae6	1179863	10.5	main	slash	27	rectangle	global	RVF	yes	present	1	375
62824c37f4cc437ab86e0ae6	1184169	10.5	main	slash	28	rectangle	local	LVF	yes	present	1	431
62824c37f4cc437ab86e0ae6	1188056	10.5	main	slash	29	rectangle	global	LVF	yes	present	1	302
62824c37f4cc437ab86e0ae6	1192454	10.5	main	slash	30	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1196304	10.5	main	slash	31	square	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1200621	10.5	main	slash	32	rectangle	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1203041	10.5	main	slash	33	square	local	LVF	yes	present	1	754
62824c37f4cc437ab86e0ae6	1205311	10.5	main	slash	34	rectangle	local	LVF	yes	present	1	925
62824c37f4cc437ab86e0ae6	1208603	10.5	main	slash	35	rectangle	local	RVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1210569	10.5	main	slash	36	square	local	LVF	yes	present	1	533
62824c37f4cc437ab86e0ae6	1214536	10.5	main	slash	37	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1217546	10.5	main	slash	38	square	local	LVF	yes	present	1	560
62824c37f4cc437ab86e0ae6	1219497	10.5	main	slash	39	square	global	LVF	yes	present	1	395
62824c37f4cc437ab86e0ae6	1222819	10.5	main	slash	40	rectangle	global	LVF	yes	present	1	400
62824c37f4cc437ab86e0ae6	1226035	10.5	main	slash	41	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1227775	10.5	main	slash	42	square	local	RVF	yes	present	1	506
62824c37f4cc437ab86e0ae6	1231652	10.5	main	slash	43	square	global	LVF	yes	absent	0	2000
62824c37f4cc437ab86e0ae6	1233229	10.5	main	slash	44	rectangle	local	LVF	yes	present	1	544
62824c37f4cc437ab86e0ae6	1235062	10.5	main	slash	45	square	local	LVF	yes	present	1	377
62824c37f4cc437ab86e0ae6	1238694	10.5	main	slash	46	rectangle	global	RVF	yes	present	1	576
62824c37f4cc437ab86e0ae6	1240971	10.5	main	slash	47	square	local	RVF	yes	present	1	486
62824c37f4cc437ab86e0ae6	1244268	10.5	main	slash	48	absent	absent	absent	no	absent	1	2000
62824c37f4cc437ab86e0ae6	1246162	10.5	main	slash	49	rectangle	global	LVF	yes	present	1	477
