subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
629186f7e2f20297ead170be	720441	9.5	practice	slash	1	rectangle	local	RVF	yes	present	1	1908
629186f7e2f20297ead170be	723456	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	709
629186f7e2f20297ead170be	727676	9.5	practice	slash	3	absent	absent	absent	no	absent	1	2000
629186f7e2f20297ead170be	730683	9.5	practice	slash	4	rectangle	global	LVF	yes	present	1	842
629186f7e2f20297ead170be	733637	9.5	practice	slash	5	square	local	LVF	yes	present	1	828
629186f7e2f20297ead170be	737572	9.5	practice	slash	6	rectangle	local	RVF	yes	absent	0	2000
629186f7e2f20297ead170be	740832	9.5	practice	slash	7	rectangle	global	RVF	yes	present	1	1001
629186f7e2f20297ead170be	743626	9.5	practice	slash	8	absent	absent	absent	no	present	0	795
629186f7e2f20297ead170be	746358	9.5	practice	slash	9	square	global	LVF	yes	present	1	715
629186f7e2f20297ead170be	749159	9.5	practice	slash	10	square	local	LVF	yes	present	1	816
629186f7e2f20297ead170be	751683	9.5	practice	slash	11	square	global	RVF	yes	present	1	577
629186f7e2f20297ead170be	754539	9.5	practice	slash	12	absent	absent	absent	no	present	0	969
629186f7e2f20297ead170be	758435	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
629186f7e2f20297ead170be	760835	9.5	practice	slash	14	rectangle	global	RVF	yes	present	1	457
629186f7e2f20297ead170be	763174	9.5	practice	slash	15	rectangle	global	LVF	yes	present	1	428
629186f7e2f20297ead170be	765520	9.5	practice	slash	16	square	global	LVF	yes	present	1	476
629186f7e2f20297ead170be	769795	10.5	main	slash	1	rectangle	local	RVF	yes	present	1	494
629186f7e2f20297ead170be	772238	10.5	main	slash	2	rectangle	local	LVF	yes	present	1	511
629186f7e2f20297ead170be	774499	10.5	main	slash	3	square	global	LVF	yes	present	1	422
629186f7e2f20297ead170be	776516	10.5	main	slash	4	rectangle	local	LVF	yes	present	1	541
