subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62a2adb16716c2e0c8d3c07a	182434	1	practice	slash	1	square	global	RVF	yes	absent	0	2000
62a2adb16716c2e0c8d3c07a	185432	1	practice	slash	2	square	local	LVF	yes	present	1	346
62a2adb16716c2e0c8d3c07a	188295	1	practice	slash	3	square	global	LVF	yes	present	1	410
62a2adb16716c2e0c8d3c07a	191117	1	practice	slash	4	absent	absent	absent	no	present	0	568
62a2adb16716c2e0c8d3c07a	194224	1	practice	slash	5	absent	absent	absent	no	present	0	555
62a2adb16716c2e0c8d3c07a	198483	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
62a2adb16716c2e0c8d3c07a	201392	1	practice	slash	7	square	local	LVF	yes	present	1	624
62a2adb16716c2e0c8d3c07a	204249	1	practice	slash	8	rectangle	global	RVF	yes	present	1	747
62a2adb16716c2e0c8d3c07a	206914	1	practice	slash	9	rectangle	global	LVF	yes	present	1	510
62a2adb16716c2e0c8d3c07a	209387	1	practice	slash	10	rectangle	local	RVF	yes	present	1	399
62a2adb16716c2e0c8d3c07a	212029	1	practice	slash	11	rectangle	local	RVF	yes	present	1	397
62a2adb16716c2e0c8d3c07a	214393	1	practice	slash	12	rectangle	global	LVF	yes	present	1	356
62a2adb16716c2e0c8d3c07a	216782	1	practice	slash	13	square	global	LVF	yes	present	1	398
62a2adb16716c2e0c8d3c07a	219159	1	practice	slash	14	absent	absent	absent	no	present	0	342
62a2adb16716c2e0c8d3c07a	221791	1	practice	slash	15	rectangle	global	RVF	yes	present	1	525
62a2adb16716c2e0c8d3c07a	224433	1	practice	slash	16	rectangle	local	RVF	yes	present	1	422
62a2adb16716c2e0c8d3c07a	247594	2	main	slash	1	square	global	LVF	yes	present	1	414
62a2adb16716c2e0c8d3c07a	249410	2	main	slash	2	square	local	LVF	yes	present	1	514
62a2adb16716c2e0c8d3c07a	251341	2	main	slash	3	rectangle	global	LVF	yes	present	1	642
62a2adb16716c2e0c8d3c07a	253234	2	main	slash	4	rectangle	local	LVF	yes	present	1	671
62a2adb16716c2e0c8d3c07a	255098	2	main	slash	5	rectangle	local	RVF	yes	present	1	752
62a2adb16716c2e0c8d3c07a	258179	2	main	slash	6	rectangle	local	LVF	yes	absent	0	2000
62a2adb16716c2e0c8d3c07a	260146	2	main	slash	7	absent	absent	absent	no	present	0	834
62a2adb16716c2e0c8d3c07a	263185	2	main	slash	8	absent	absent	absent	no	absent	1	2000
62a2adb16716c2e0c8d3c07a	265217	2	main	slash	9	absent	absent	absent	no	present	0	840
62a2adb16716c2e0c8d3c07a	267009	2	main	slash	10	square	global	LVF	yes	present	1	598
62a2adb16716c2e0c8d3c07a	268689	2	main	slash	11	square	local	RVF	yes	present	1	544
62a2adb16716c2e0c8d3c07a	270329	2	main	slash	12	rectangle	local	RVF	yes	present	1	584
62a2adb16716c2e0c8d3c07a	273312	2	main	slash	13	square	global	RVF	yes	absent	0	2000
62a2adb16716c2e0c8d3c07a	275186	2	main	slash	14	rectangle	global	RVF	yes	present	1	740
62a2adb16716c2e0c8d3c07a	276794	2	main	slash	15	rectangle	global	RVF	yes	present	1	664
62a2adb16716c2e0c8d3c07a	278412	2	main	slash	16	square	global	RVF	yes	present	1	715
62a2adb16716c2e0c8d3c07a	280297	2	main	slash	17	rectangle	local	RVF	yes	present	1	768
62a2adb16716c2e0c8d3c07a	281757	2	main	slash	18	square	global	LVF	yes	present	1	524
62a2adb16716c2e0c8d3c07a	284209	2	main	slash	19	square	global	RVF	yes	present	1	1481
62a2adb16716c2e0c8d3c07a	285883	2	main	slash	20	rectangle	global	LVF	yes	present	1	769
62a2adb16716c2e0c8d3c07a	287834	2	main	slash	21	absent	absent	absent	no	present	0	922
62a2adb16716c2e0c8d3c07a	289491	2	main	slash	22	square	local	RVF	yes	present	1	678
