subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62caff3bc44f4d702b6e2e35	556601	9.5	practice	z	1	square	global	LVF	yes	present	1	482
62caff3bc44f4d702b6e2e35	559566	9.5	practice	z	2	rectangle	local	RVF	yes	present	1	644
62caff3bc44f4d702b6e2e35	562419	9.5	practice	z	3	square	local	LVF	yes	present	1	526
62caff3bc44f4d702b6e2e35	566531	9.5	practice	z	4	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	569036	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	376
62caff3bc44f4d702b6e2e35	573125	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	577248	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	579948	9.5	practice	z	8	rectangle	global	LVF	yes	present	1	610
62caff3bc44f4d702b6e2e35	582694	9.5	practice	z	9	rectangle	local	RVF	yes	present	1	568
62caff3bc44f4d702b6e2e35	585321	9.5	practice	z	10	square	global	LVF	yes	present	1	541
62caff3bc44f4d702b6e2e35	589350	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	593255	9.5	practice	z	12	square	local	LVF	yes	present	1	580
62caff3bc44f4d702b6e2e35	596012	9.5	practice	z	13	rectangle	local	RVF	yes	present	1	682
62caff3bc44f4d702b6e2e35	598758	9.5	practice	z	14	square	global	RVF	yes	present	1	591
62caff3bc44f4d702b6e2e35	601854	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	1050
62caff3bc44f4d702b6e2e35	604505	9.5	practice	z	16	rectangle	global	LVF	yes	present	1	528
62caff3bc44f4d702b6e2e35	612301	10.5	main	z	1	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	616140	10.5	main	z	2	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	617937	10.5	main	z	3	rectangle	local	LVF	yes	present	1	475
62caff3bc44f4d702b6e2e35	619802	10.5	main	z	4	rectangle	global	LVF	yes	present	1	352
62caff3bc44f4d702b6e2e35	623202	10.5	main	z	5	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	624706	10.5	main	z	6	rectangle	global	RVF	yes	present	1	382
62caff3bc44f4d702b6e2e35	626394	10.5	main	z	7	rectangle	global	LVF	yes	present	1	385
62caff3bc44f4d702b6e2e35	627956	10.5	main	z	8	square	local	RVF	yes	present	1	411
62caff3bc44f4d702b6e2e35	629681	10.5	main	z	9	rectangle	local	RVF	yes	present	1	567
62caff3bc44f4d702b6e2e35	631518	10.5	main	z	10	square	global	LVF	yes	present	1	568
62caff3bc44f4d702b6e2e35	633575	10.5	main	z	11	square	global	RVF	yes	present	1	738
62caff3bc44f4d702b6e2e35	635406	10.5	main	z	12	square	local	RVF	yes	present	1	616
62caff3bc44f4d702b6e2e35	638543	10.5	main	z	13	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	640183	10.5	main	z	14	square	global	LVF	yes	present	1	569
62caff3bc44f4d702b6e2e35	641913	10.5	main	z	15	square	local	LVF	yes	present	1	530
62caff3bc44f4d702b6e2e35	643640	10.5	main	z	16	square	global	RVF	yes	present	1	571
62caff3bc44f4d702b6e2e35	646705	10.5	main	z	17	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	648173	10.5	main	z	18	rectangle	global	RVF	yes	present	1	330
62caff3bc44f4d702b6e2e35	649806	10.5	main	z	19	square	local	LVF	yes	present	1	476
62caff3bc44f4d702b6e2e35	652715	10.5	main	z	20	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	654262	10.5	main	z	21	square	local	RVF	yes	present	1	393
62caff3bc44f4d702b6e2e35	655707	10.5	main	z	22	square	global	RVF	yes	present	1	302
62caff3bc44f4d702b6e2e35	657163	10.5	main	z	23	square	global	LVF	yes	present	1	522
62caff3bc44f4d702b6e2e35	658481	10.5	main	z	24	square	local	LVF	yes	present	1	355
62caff3bc44f4d702b6e2e35	659803	10.5	main	z	25	square	local	LVF	yes	present	1	424
62caff3bc44f4d702b6e2e35	662613	10.5	main	z	26	absent	absent	absent	no	absent	1	2000
62caff3bc44f4d702b6e2e35	664819	10.5	main	z	27	rectangle	local	RVF	yes	present	1	417
62caff3bc44f4d702b6e2e35	666317	10.5	main	z	28	rectangle	global	RVF	yes	present	1	362
