subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62e1f3f870894e12168113c5	1559164	9.5	practice	slash	1	rectangle	local	RVF	yes	present	1	1045
62e1f3f870894e12168113c5	1563700	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	1264
62e1f3f870894e12168113c5	1567516	9.5	practice	slash	3	square	global	LVF	yes	present	1	712
62e1f3f870894e12168113c5	1570878	9.5	practice	slash	4	square	global	RVF	yes	present	1	840
62e1f3f870894e12168113c5	1575352	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1579677	9.5	practice	slash	6	square	global	LVF	yes	present	1	1123
62e1f3f870894e12168113c5	1584120	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1588321	9.5	practice	slash	8	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1592000	9.5	practice	slash	9	rectangle	global	LVF	yes	present	1	1244
62e1f3f870894e12168113c5	1595901	9.5	practice	slash	10	rectangle	global	LVF	yes	present	1	1247
62e1f3f870894e12168113c5	1600120	9.5	practice	slash	11	square	local	LVF	yes	absent	0	2000
62e1f3f870894e12168113c5	1603590	9.5	practice	slash	12	rectangle	local	RVF	yes	present	1	1169
62e1f3f870894e12168113c5	1607019	9.5	practice	slash	13	square	local	LVF	yes	present	1	1195
62e1f3f870894e12168113c5	1610277	9.5	practice	slash	14	rectangle	global	RVF	yes	present	1	1140
62e1f3f870894e12168113c5	1614419	9.5	practice	slash	15	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1617598	9.5	practice	slash	16	rectangle	global	RVF	yes	present	1	927
62e1f3f870894e12168113c5	1630888	10.5	main	slash	1	rectangle	local	RVF	yes	present	1	1290
62e1f3f870894e12168113c5	1634164	10.5	main	slash	2	rectangle	local	LVF	yes	present	1	1063
62e1f3f870894e12168113c5	1636554	10.5	main	slash	3	square	global	LVF	yes	present	1	887
62e1f3f870894e12168113c5	1639665	10.5	main	slash	4	square	local	RVF	yes	present	1	765
62e1f3f870894e12168113c5	1642250	10.5	main	slash	5	rectangle	global	RVF	yes	present	1	832
62e1f3f870894e12168113c5	1644985	10.5	main	slash	6	square	local	RVF	yes	present	1	685
62e1f3f870894e12168113c5	1647402	10.5	main	slash	7	rectangle	local	RVF	yes	present	1	953
62e1f3f870894e12168113c5	1651082	10.5	main	slash	8	absent	absent	absent	no	present	0	1148
62e1f3f870894e12168113c5	1653520	10.5	main	slash	9	rectangle	local	LVF	yes	present	1	920
62e1f3f870894e12168113c5	1655817	10.5	main	slash	10	rectangle	global	LVF	yes	present	1	684
62e1f3f870894e12168113c5	1659416	10.5	main	slash	11	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1661778	10.5	main	slash	12	rectangle	global	LVF	yes	present	1	760
62e1f3f870894e12168113c5	1665616	10.5	main	slash	13	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1668427	10.5	main	slash	14	square	global	RVF	yes	present	1	1409
62e1f3f870894e12168113c5	1671104	10.5	main	slash	15	rectangle	local	RVF	yes	present	1	953
62e1f3f870894e12168113c5	1673779	10.5	main	slash	16	square	global	RVF	yes	present	1	778
62e1f3f870894e12168113c5	1676643	10.5	main	slash	17	rectangle	global	RVF	yes	present	1	742
62e1f3f870894e12168113c5	1679076	10.5	main	slash	18	square	local	LVF	yes	present	1	708
62e1f3f870894e12168113c5	1683016	10.5	main	slash	19	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1685195	10.5	main	slash	20	square	local	RVF	yes	present	1	829
62e1f3f870894e12168113c5	1688950	10.5	main	slash	21	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1691083	10.5	main	slash	22	absent	absent	absent	no	present	0	900
62e1f3f870894e12168113c5	1697828	10.5	main	slash	23	square	global	RVF	yes	present	1	761
62e1f3f870894e12168113c5	1701306	10.5	main	slash	24	rectangle	local	RVF	yes	present	1	871
62e1f3f870894e12168113c5	1703779	10.5	main	slash	25	rectangle	global	LVF	yes	present	1	679
62e1f3f870894e12168113c5	1706304	10.5	main	slash	26	rectangle	global	RVF	yes	present	1	652
62e1f3f870894e12168113c5	1708828	10.5	main	slash	27	square	local	LVF	yes	present	1	893
62e1f3f870894e12168113c5	1711380	10.5	main	slash	28	rectangle	local	LVF	yes	present	1	1163
62e1f3f870894e12168113c5	1713676	10.5	main	slash	29	square	local	RVF	yes	present	1	793
62e1f3f870894e12168113c5	1716157	10.5	main	slash	30	square	local	LVF	yes	present	1	955
62e1f3f870894e12168113c5	1718578	10.5	main	slash	31	square	global	LVF	yes	present	1	854
62e1f3f870894e12168113c5	1720677	10.5	main	slash	32	square	global	LVF	yes	present	1	659
62e1f3f870894e12168113c5	1728151	10.5	main	slash	33	rectangle	local	LVF	yes	absent	0	2000
62e1f3f870894e12168113c5	1730343	10.5	main	slash	34	rectangle	global	RVF	yes	present	1	741
62e1f3f870894e12168113c5	1732716	10.5	main	slash	35	square	global	RVF	yes	present	1	716
62e1f3f870894e12168113c5	1735046	10.5	main	slash	36	square	local	LVF	yes	present	1	778
62e1f3f870894e12168113c5	1739884	10.5	main	slash	37	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1742308	10.5	main	slash	38	square	global	LVF	yes	present	1	743
62e1f3f870894e12168113c5	1744805	10.5	main	slash	39	rectangle	global	LVF	yes	present	1	788
62e1f3f870894e12168113c5	1748317	10.5	main	slash	40	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1750371	10.5	main	slash	41	rectangle	local	LVF	yes	present	1	1021
62e1f3f870894e12168113c5	1752477	10.5	main	slash	42	rectangle	global	RVF	yes	present	1	776
62e1f3f870894e12168113c5	1754748	10.5	main	slash	43	rectangle	local	RVF	yes	present	1	879
62e1f3f870894e12168113c5	1757181	10.5	main	slash	44	square	global	LVF	yes	present	1	1112
62e1f3f870894e12168113c5	1759215	10.5	main	slash	45	square	global	RVF	yes	present	1	558
62e1f3f870894e12168113c5	1761621	10.5	main	slash	46	rectangle	local	LVF	yes	present	1	787
62e1f3f870894e12168113c5	1763726	10.5	main	slash	47	rectangle	global	LVF	yes	present	1	892
62e1f3f870894e12168113c5	1765533	10.5	main	slash	48	rectangle	global	RVF	yes	present	1	633
62e1f3f870894e12168113c5	1767173	10.5	main	slash	49	rectangle	global	LVF	yes	present	1	389
62e1f3f870894e12168113c5	1770684	10.5	main	slash	50	absent	absent	absent	no	absent	1	2000
62e1f3f870894e12168113c5	1772525	10.5	main	slash	51	square	global	LVF	yes	present	1	656
62e1f3f870894e12168113c5	1774918	10.5	main	slash	52	rectangle	local	LVF	yes	present	1	984
62e1f3f870894e12168113c5	1776969	10.5	main	slash	53	square	global	RVF	yes	present	1	881
