subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
631bfb8f27645e704e21c1cd	557510	9.5	practice	slash	1	absent	absent	absent	no	present	0	1532
631bfb8f27645e704e21c1cd	561792	9.5	practice	slash	2	square	global	RVF	yes	present	1	1183
631bfb8f27645e704e21c1cd	566608	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	1360
631bfb8f27645e704e21c1cd	570035	9.5	practice	slash	4	square	local	LVF	yes	present	1	1294
631bfb8f27645e704e21c1cd	574277	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2003
631bfb8f27645e704e21c1cd	577537	9.5	practice	slash	6	square	local	LVF	yes	present	1	1075
631bfb8f27645e704e21c1cd	580904	9.5	practice	slash	7	rectangle	global	LVF	yes	present	1	1123
631bfb8f27645e704e21c1cd	584410	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	1254
631bfb8f27645e704e21c1cd	587989	9.5	practice	slash	9	rectangle	global	RVF	yes	present	1	1146
631bfb8f27645e704e21c1cd	591267	9.5	practice	slash	10	rectangle	local	RVF	yes	present	1	1077
631bfb8f27645e704e21c1cd	594544	9.5	practice	slash	11	square	global	LVF	yes	present	1	1140
631bfb8f27645e704e21c1cd	598159	9.5	practice	slash	12	rectangle	global	RVF	yes	present	1	1581
631bfb8f27645e704e21c1cd	601205	9.5	practice	slash	13	square	global	LVF	yes	present	1	1003
631bfb8f27645e704e21c1cd	605351	9.5	practice	slash	14	absent	absent	absent	no	absent	1	2003
631bfb8f27645e704e21c1cd	609008	9.5	practice	slash	15	absent	absent	absent	no	present	0	1516
631bfb8f27645e704e21c1cd	611924	9.5	practice	slash	16	rectangle	global	LVF	yes	present	1	778
631bfb8f27645e704e21c1cd	649834	10.5	main	slash	1	rectangle	local	RVF	yes	present	1	1270
631bfb8f27645e704e21c1cd	652349	10.5	main	slash	2	rectangle	global	LVF	yes	present	1	1078
631bfb8f27645e704e21c1cd	655454	10.5	main	slash	3	square	local	RVF	yes	present	1	1670
631bfb8f27645e704e21c1cd	658788	10.5	main	slash	4	absent	absent	absent	no	absent	1	2003
631bfb8f27645e704e21c1cd	661996	10.5	main	slash	5	absent	absent	absent	no	absent	1	2003
631bfb8f27645e704e21c1cd	663781	10.5	main	slash	6	square	global	LVF	yes	present	1	782
631bfb8f27645e704e21c1cd	666240	10.5	main	slash	7	square	global	RVF	yes	present	1	1041
631bfb8f27645e704e21c1cd	668684	10.5	main	slash	8	rectangle	global	RVF	yes	present	1	1185
631bfb8f27645e704e21c1cd	672949	10.5	main	slash	9	square	global	LVF	yes	present	1	958
631bfb8f27645e704e21c1cd	681440	10.5	main	slash	10	rectangle	local	LVF	yes	present	1	714
631bfb8f27645e704e21c1cd	684403	10.5	main	slash	11	rectangle	global	RVF	yes	present	1	1080
631bfb8f27645e704e21c1cd	686881	10.5	main	slash	12	square	global	LVF	yes	present	1	419
631bfb8f27645e704e21c1cd	688916	10.5	main	slash	13	rectangle	local	LVF	yes	present	1	558
