subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6361bfe81e0da4a406b33f1e	695234	9.5	practice	slash	1	square	global	LVF	yes	absent	0	2003
6361bfe81e0da4a406b33f1e	698233	9.5	practice	slash	2	rectangle	global	RVF	yes	present	1	419
6361bfe81e0da4a406b33f1e	701255	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	551
6361bfe81e0da4a406b33f1e	705738	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	709750	9.5	practice	slash	5	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	712594	9.5	practice	slash	6	square	global	LVF	yes	present	1	815
6361bfe81e0da4a406b33f1e	715487	9.5	practice	slash	7	square	local	LVF	yes	present	1	719
6361bfe81e0da4a406b33f1e	718653	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	882
6361bfe81e0da4a406b33f1e	721600	9.5	practice	slash	9	rectangle	global	LVF	yes	present	1	867
6361bfe81e0da4a406b33f1e	725296	9.5	practice	slash	10	square	local	LVF	yes	present	1	907
6361bfe81e0da4a406b33f1e	728703	9.5	practice	slash	11	square	global	RVF	yes	present	1	1271
6361bfe81e0da4a406b33f1e	732737	9.5	practice	slash	12	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	735737	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	936
6361bfe81e0da4a406b33f1e	738830	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	1018
6361bfe81e0da4a406b33f1e	743005	9.5	practice	slash	15	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	745899	9.5	practice	slash	16	rectangle	global	LVF	yes	present	1	940
6361bfe81e0da4a406b33f1e	751899	10.5	main	slash	1	square	global	LVF	yes	present	1	748
6361bfe81e0da4a406b33f1e	754423	10.5	main	slash	2	rectangle	local	LVF	yes	present	1	936
6361bfe81e0da4a406b33f1e	756805	10.5	main	slash	3	square	global	RVF	yes	present	1	823
6361bfe81e0da4a406b33f1e	759426	10.5	main	slash	4	rectangle	global	LVF	yes	present	1	1073
6361bfe81e0da4a406b33f1e	761770	10.5	main	slash	5	rectangle	global	RVF	yes	present	1	859
6361bfe81e0da4a406b33f1e	763845	10.5	main	slash	6	square	global	RVF	yes	present	1	876
6361bfe81e0da4a406b33f1e	767092	10.5	main	slash	7	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	769004	10.5	main	slash	8	square	local	RVF	yes	present	1	864
6361bfe81e0da4a406b33f1e	771091	10.5	main	slash	9	square	local	LVF	yes	present	1	872
6361bfe81e0da4a406b33f1e	773059	10.5	main	slash	10	rectangle	global	RVF	yes	present	1	824
6361bfe81e0da4a406b33f1e	775075	10.5	main	slash	11	square	local	RVF	yes	present	1	809
6361bfe81e0da4a406b33f1e	777066	10.5	main	slash	12	square	global	LVF	yes	present	1	834
6361bfe81e0da4a406b33f1e	780209	10.5	main	slash	13	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	783226	10.5	main	slash	14	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	786243	10.5	main	slash	15	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	788246	10.5	main	slash	16	rectangle	global	RVF	yes	present	1	1017
6361bfe81e0da4a406b33f1e	790493	10.5	main	slash	17	rectangle	global	LVF	yes	present	1	1004
6361bfe81e0da4a406b33f1e	793660	10.5	main	slash	18	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	795460	10.5	main	slash	19	square	local	LVF	yes	present	1	862
6361bfe81e0da4a406b33f1e	798589	10.5	main	slash	20	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	800893	10.5	main	slash	21	rectangle	local	RVF	yes	present	1	984
6361bfe81e0da4a406b33f1e	803109	10.5	main	slash	22	rectangle	local	RVF	yes	present	1	871
6361bfe81e0da4a406b33f1e	805087	10.5	main	slash	23	rectangle	global	LVF	yes	present	1	861
6361bfe81e0da4a406b33f1e	807178	10.5	main	slash	24	square	global	LVF	yes	present	1	839
6361bfe81e0da4a406b33f1e	809249	10.5	main	slash	25	square	global	RVF	yes	present	1	990
6361bfe81e0da4a406b33f1e	811234	10.5	main	slash	26	rectangle	local	LVF	yes	present	1	856
6361bfe81e0da4a406b33f1e	813178	10.5	main	slash	27	square	local	RVF	yes	present	1	882
6361bfe81e0da4a406b33f1e	815135	10.5	main	slash	28	rectangle	local	RVF	yes	present	1	850
6361bfe81e0da4a406b33f1e	816999	10.5	main	slash	29	square	local	LVF	yes	present	1	838
6361bfe81e0da4a406b33f1e	818893	10.5	main	slash	30	rectangle	local	LVF	yes	present	1	882
6361bfe81e0da4a406b33f1e	820776	10.5	main	slash	31	square	global	RVF	yes	present	1	812
6361bfe81e0da4a406b33f1e	823783	10.5	main	slash	32	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	825950	10.5	main	slash	33	rectangle	global	LVF	yes	present	1	1190
6361bfe81e0da4a406b33f1e	827988	10.5	main	slash	34	square	global	LVF	yes	present	1	836
6361bfe81e0da4a406b33f1e	829852	10.5	main	slash	35	rectangle	local	RVF	yes	present	1	809
6361bfe81e0da4a406b33f1e	831896	10.5	main	slash	36	rectangle	local	LVF	yes	present	1	900
6361bfe81e0da4a406b33f1e	834000	10.5	main	slash	37	square	local	LVF	yes	present	1	863
6361bfe81e0da4a406b33f1e	836134	10.5	main	slash	38	rectangle	global	RVF	yes	present	1	876
6361bfe81e0da4a406b33f1e	838120	10.5	main	slash	39	square	local	RVF	yes	present	1	860
6361bfe81e0da4a406b33f1e	841237	10.5	main	slash	40	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	844137	10.5	main	slash	41	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	847062	10.5	main	slash	42	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	848890	10.5	main	slash	43	square	local	RVF	yes	present	1	918
6361bfe81e0da4a406b33f1e	851037	10.5	main	slash	44	rectangle	local	RVF	yes	present	1	854
6361bfe81e0da4a406b33f1e	853049	10.5	main	slash	45	rectangle	local	LVF	yes	present	1	864
6361bfe81e0da4a406b33f1e	855121	10.5	main	slash	46	rectangle	global	RVF	yes	present	1	814
6361bfe81e0da4a406b33f1e	859049	10.5	main	slash	47	rectangle	local	LVF	yes	present	1	713
6361bfe81e0da4a406b33f1e	861191	10.5	main	slash	48	rectangle	global	RVF	yes	present	1	971
6361bfe81e0da4a406b33f1e	863266	10.5	main	slash	49	square	local	LVF	yes	present	1	868
6361bfe81e0da4a406b33f1e	865287	10.5	main	slash	50	square	global	LVF	yes	present	1	840
6361bfe81e0da4a406b33f1e	867187	10.5	main	slash	51	square	global	RVF	yes	present	1	836
6361bfe81e0da4a406b33f1e	869184	10.5	main	slash	52	rectangle	local	RVF	yes	present	1	838
6361bfe81e0da4a406b33f1e	871058	10.5	main	slash	53	square	global	LVF	yes	present	1	842
6361bfe81e0da4a406b33f1e	873049	10.5	main	slash	54	rectangle	global	LVF	yes	present	1	949
6361bfe81e0da4a406b33f1e	875175	10.5	main	slash	55	rectangle	global	LVF	yes	present	1	933
6361bfe81e0da4a406b33f1e	877137	10.5	main	slash	56	square	global	LVF	yes	present	1	852
6361bfe81e0da4a406b33f1e	880255	10.5	main	slash	57	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	882099	10.5	main	slash	58	rectangle	global	RVF	yes	present	1	871
6361bfe81e0da4a406b33f1e	884016	10.5	main	slash	59	square	global	LVF	yes	present	1	853
6361bfe81e0da4a406b33f1e	885841	10.5	main	slash	60	rectangle	local	RVF	yes	present	1	853
6361bfe81e0da4a406b33f1e	887726	10.5	main	slash	61	square	global	RVF	yes	present	1	875
6361bfe81e0da4a406b33f1e	890856	10.5	main	slash	62	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	892538	10.5	main	slash	63	rectangle	global	LVF	yes	present	1	785
6361bfe81e0da4a406b33f1e	895569	10.5	main	slash	64	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	897383	10.5	main	slash	65	square	local	RVF	yes	present	1	909
6361bfe81e0da4a406b33f1e	900463	10.5	main	slash	66	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	903452	10.5	main	slash	67	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	905185	10.5	main	slash	68	square	local	LVF	yes	present	1	822
6361bfe81e0da4a406b33f1e	907240	10.5	main	slash	69	rectangle	local	RVF	yes	present	1	932
6361bfe81e0da4a406b33f1e	909505	10.5	main	slash	70	rectangle	local	LVF	yes	present	1	889
6361bfe81e0da4a406b33f1e	911443	10.5	main	slash	71	square	global	RVF	yes	present	1	811
6361bfe81e0da4a406b33f1e	913467	10.5	main	slash	72	rectangle	global	LVF	yes	present	1	1027
6361bfe81e0da4a406b33f1e	915359	10.5	main	slash	73	square	local	LVF	yes	present	1	805
6361bfe81e0da4a406b33f1e	917217	10.5	main	slash	74	square	local	RVF	yes	present	1	753
6361bfe81e0da4a406b33f1e	918949	10.5	main	slash	75	rectangle	global	RVF	yes	present	1	800
6361bfe81e0da4a406b33f1e	920783	10.5	main	slash	76	square	local	RVF	yes	present	1	835
6361bfe81e0da4a406b33f1e	922510	10.5	main	slash	77	square	local	LVF	yes	present	1	693
6361bfe81e0da4a406b33f1e	924235	10.5	main	slash	78	square	global	RVF	yes	present	1	716
6361bfe81e0da4a406b33f1e	927226	10.5	main	slash	79	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	929096	10.5	main	slash	80	rectangle	local	LVF	yes	present	1	849
6361bfe81e0da4a406b33f1e	954184	11.5	practice	z	1	rectangle	local	RVF	yes	present	1	652
6361bfe81e0da4a406b33f1e	957373	11.5	practice	z	2	rectangle	local	RVF	yes	present	1	875
6361bfe81e0da4a406b33f1e	960316	11.5	practice	z	3	square	global	LVF	yes	present	1	836
6361bfe81e0da4a406b33f1e	964305	11.5	practice	z	4	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	968191	11.5	practice	z	5	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	970967	11.5	practice	z	6	rectangle	global	LVF	yes	present	1	865
6361bfe81e0da4a406b33f1e	973728	11.5	practice	z	7	square	local	LVF	yes	present	1	797
6361bfe81e0da4a406b33f1e	976679	11.5	practice	z	8	rectangle	global	RVF	yes	present	1	1017
6361bfe81e0da4a406b33f1e	980013	11.5	practice	z	9	square	local	LVF	yes	present	1	1006
6361bfe81e0da4a406b33f1e	983046	11.5	practice	z	10	rectangle	global	RVF	yes	present	1	897
6361bfe81e0da4a406b33f1e	987058	11.5	practice	z	11	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	989910	11.5	practice	z	12	square	global	RVF	yes	present	1	886
6361bfe81e0da4a406b33f1e	992793	11.5	practice	z	13	rectangle	global	LVF	yes	present	1	848
6361bfe81e0da4a406b33f1e	996713	11.5	practice	z	14	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	999541	11.5	practice	z	15	square	global	LVF	yes	present	1	882
6361bfe81e0da4a406b33f1e	1002443	11.5	practice	z	16	rectangle	local	RVF	yes	present	1	905
6361bfe81e0da4a406b33f1e	1007203	12.5	main	z	1	square	global	LVF	yes	present	1	680
6361bfe81e0da4a406b33f1e	1009235	12.5	main	z	2	rectangle	local	LVF	yes	present	1	823
6361bfe81e0da4a406b33f1e	1011161	12.5	main	z	3	rectangle	local	RVF	yes	present	1	844
6361bfe81e0da4a406b33f1e	1013126	12.5	main	z	4	square	global	LVF	yes	present	1	856
6361bfe81e0da4a406b33f1e	1014911	12.5	main	z	5	square	local	RVF	yes	present	1	812
6361bfe81e0da4a406b33f1e	1016694	12.5	main	z	6	rectangle	local	LVF	yes	present	1	837
6361bfe81e0da4a406b33f1e	1018423	12.5	main	z	7	square	local	LVF	yes	present	1	766
6361bfe81e0da4a406b33f1e	1020222	12.5	main	z	8	square	local	RVF	yes	present	1	820
6361bfe81e0da4a406b33f1e	1022040	12.5	main	z	9	square	global	RVF	yes	present	1	858
6361bfe81e0da4a406b33f1e	1023772	12.5	main	z	10	rectangle	global	LVF	yes	present	1	790
6361bfe81e0da4a406b33f1e	1026683	12.5	main	z	11	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	1028455	12.5	main	z	12	square	local	LVF	yes	present	1	857
6361bfe81e0da4a406b33f1e	1030289	12.5	main	z	13	rectangle	global	LVF	yes	present	1	828
6361bfe81e0da4a406b33f1e	1032034	12.5	main	z	14	square	global	LVF	yes	present	1	841
6361bfe81e0da4a406b33f1e	1033807	12.5	main	z	15	rectangle	global	LVF	yes	present	1	869
6361bfe81e0da4a406b33f1e	1035513	12.5	main	z	16	square	global	RVF	yes	present	1	810
6361bfe81e0da4a406b33f1e	1037166	12.5	main	z	17	rectangle	global	LVF	yes	present	1	773
6361bfe81e0da4a406b33f1e	1039051	12.5	main	z	18	square	local	RVF	yes	present	1	991
6361bfe81e0da4a406b33f1e	1040905	12.5	main	z	19	square	local	LVF	yes	present	1	843
6361bfe81e0da4a406b33f1e	1042695	12.5	main	z	20	rectangle	local	RVF	yes	present	1	916
6361bfe81e0da4a406b33f1e	1044395	12.5	main	z	21	square	local	LVF	yes	present	1	829
6361bfe81e0da4a406b33f1e	1046133	12.5	main	z	22	square	global	RVF	yes	present	1	899
6361bfe81e0da4a406b33f1e	1047742	12.5	main	z	23	rectangle	local	RVF	yes	present	1	722
6361bfe81e0da4a406b33f1e	1050601	12.5	main	z	24	absent	absent	absent	no	absent	1	2003
6361bfe81e0da4a406b33f1e	1052375	12.5	main	z	25	square	global	LVF	yes	present	1	821
6361bfe81e0da4a406b33f1e	1053995	12.5	main	z	26	square	local	RVF	yes	present	1	759
