subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63d3a3629d0b9452d3f32c7e	163846	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	168154	1	practice	slash	2	rectangle	global	RVF	yes	present	1	921
63d3a3629d0b9452d3f32c7e	171762	1	practice	slash	3	rectangle	local	RVF	yes	present	1	796
63d3a3629d0b9452d3f32c7e	174867	1	practice	slash	4	rectangle	local	RVF	yes	present	1	816
63d3a3629d0b9452d3f32c7e	177994	1	practice	slash	5	rectangle	global	RVF	yes	present	1	1192
63d3a3629d0b9452d3f32c7e	181226	1	practice	slash	6	rectangle	global	LVF	yes	present	1	1091
63d3a3629d0b9452d3f32c7e	184402	1	practice	slash	7	rectangle	local	RVF	yes	present	1	916
63d3a3629d0b9452d3f32c7e	187322	1	practice	slash	8	absent	absent	absent	no	present	0	953
63d3a3629d0b9452d3f32c7e	190322	1	practice	slash	9	square	global	LVF	yes	present	1	853
63d3a3629d0b9452d3f32c7e	193114	1	practice	slash	10	square	global	LVF	yes	present	1	878
63d3a3629d0b9452d3f32c7e	196951	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	199818	1	practice	slash	12	square	global	RVF	yes	present	1	697
63d3a3629d0b9452d3f32c7e	202578	1	practice	slash	13	square	local	LVF	yes	present	1	824
63d3a3629d0b9452d3f32c7e	205370	1	practice	slash	14	rectangle	global	LVF	yes	present	1	882
63d3a3629d0b9452d3f32c7e	209235	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	212098	1	practice	slash	16	square	local	LVF	yes	present	1	792
63d3a3629d0b9452d3f32c7e	217586	2	main	slash	1	absent	absent	absent	no	present	0	963
63d3a3629d0b9452d3f32c7e	221010	2	main	slash	2	square	global	LVF	yes	present	1	870
63d3a3629d0b9452d3f32c7e	223594	2	main	slash	3	rectangle	global	RVF	yes	present	1	837
63d3a3629d0b9452d3f32c7e	226186	2	main	slash	4	square	local	LVF	yes	present	1	845
63d3a3629d0b9452d3f32c7e	229388	2	main	slash	5	square	global	RVF	yes	absent	0	2000
63d3a3629d0b9452d3f32c7e	232622	2	main	slash	6	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	235522	2	main	slash	7	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	237314	2	main	slash	8	rectangle	global	LVF	yes	present	1	889
63d3a3629d0b9452d3f32c7e	240589	2	main	slash	9	absent	absent	absent	no	absent	1	2000
63d3a3629d0b9452d3f32c7e	242410	2	main	slash	10	square	local	LVF	yes	present	1	867
