subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63d41641e3864dede6329c16	789422	9.5	practice	z	1	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	795898	9.5	practice	z	2	square	local	LVF	yes	present	1	1281
63d41641e3864dede6329c16	800007	9.5	practice	z	3	absent	absent	absent	no	present	0	1262
63d41641e3864dede6329c16	804523	9.5	practice	z	4	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	809127	9.5	practice	z	5	square	local	LVF	yes	present	1	1363
63d41641e3864dede6329c16	814079	9.5	practice	z	6	rectangle	global	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	818053	9.5	practice	z	7	square	global	LVF	yes	present	1	1521
63d41641e3864dede6329c16	821062	9.5	practice	z	8	rectangle	local	RVF	yes	present	1	1177
63d41641e3864dede6329c16	824752	9.5	practice	z	9	rectangle	global	RVF	yes	present	1	1124
63d41641e3864dede6329c16	828641	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	1224
63d41641e3864dede6329c16	832696	9.5	practice	z	11	square	global	RVF	yes	present	1	1544
63d41641e3864dede6329c16	836130	9.5	practice	z	12	square	global	LVF	yes	present	1	1052
63d41641e3864dede6329c16	839137	9.5	practice	z	13	rectangle	global	LVF	yes	present	1	808
63d41641e3864dede6329c16	842196	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	1251
63d41641e3864dede6329c16	845911	9.5	practice	z	15	absent	absent	absent	no	present	0	1230
63d41641e3864dede6329c16	852485	9.5	practice	z	16	absent	absent	absent	no	present	0	1601
63d41641e3864dede6329c16	863580	10.5	main	z	1	square	local	LVF	yes	present	1	1466
63d41641e3864dede6329c16	867170	10.5	main	z	2	rectangle	local	LVF	yes	present	1	1695
63d41641e3864dede6329c16	870717	10.5	main	z	3	rectangle	local	RVF	yes	present	1	1312
63d41641e3864dede6329c16	873929	10.5	main	z	4	square	global	RVF	yes	present	1	1450
63d41641e3864dede6329c16	878824	10.5	main	z	5	rectangle	local	LVF	yes	present	1	1376
63d41641e3864dede6329c16	881919	10.5	main	z	6	rectangle	global	RVF	yes	present	1	1580
63d41641e3864dede6329c16	885650	10.5	main	z	7	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	889724	10.5	main	z	8	rectangle	global	LVF	yes	present	1	1377
63d41641e3864dede6329c16	892723	10.5	main	z	9	square	local	LVF	yes	present	1	1271
63d41641e3864dede6329c16	895655	10.5	main	z	10	rectangle	global	LVF	yes	present	1	1361
63d41641e3864dede6329c16	899111	10.5	main	z	11	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	902794	10.5	main	z	12	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	906542	10.5	main	z	13	square	global	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	908860	10.5	main	z	14	square	local	RVF	yes	present	1	434
63d41641e3864dede6329c16	912049	10.5	main	z	15	square	local	RVF	yes	present	1	1334
63d41641e3864dede6329c16	914764	10.5	main	z	16	square	global	LVF	yes	present	1	1340
63d41641e3864dede6329c16	917694	10.5	main	z	17	rectangle	global	RVF	yes	present	1	1577
63d41641e3864dede6329c16	921053	10.5	main	z	18	square	global	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	924744	10.5	main	z	19	rectangle	local	RVF	yes	present	1	1821
63d41641e3864dede6329c16	927688	10.5	main	z	20	rectangle	global	RVF	yes	present	1	1779
63d41641e3864dede6329c16	932478	10.5	main	z	21	absent	absent	absent	no	present	0	1715
63d41641e3864dede6329c16	934811	10.5	main	z	22	rectangle	global	LVF	yes	present	1	1257
63d41641e3864dede6329c16	937328	10.5	main	z	23	absent	absent	absent	no	present	0	1180
63d41641e3864dede6329c16	939839	10.5	main	z	24	square	local	LVF	yes	present	1	1308
63d41641e3864dede6329c16	942202	10.5	main	z	25	absent	absent	absent	no	present	0	1067
63d41641e3864dede6329c16	944457	10.5	main	z	26	absent	absent	absent	no	present	0	1131
63d41641e3864dede6329c16	947031	10.5	main	z	27	absent	absent	absent	no	present	0	1322
63d41641e3864dede6329c16	949913	10.5	main	z	28	square	global	LVF	yes	present	1	1302
63d41641e3864dede6329c16	952226	10.5	main	z	29	square	global	LVF	yes	present	1	1259
63d41641e3864dede6329c16	955637	10.5	main	z	30	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	958184	10.5	main	z	31	square	global	LVF	yes	present	1	1328
63d41641e3864dede6329c16	961305	10.5	main	z	32	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	964479	10.5	main	z	33	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	966786	10.5	main	z	34	rectangle	global	RVF	yes	present	1	1025
63d41641e3864dede6329c16	969463	10.5	main	z	35	square	global	RVF	yes	present	1	1263
63d41641e3864dede6329c16	972793	10.5	main	z	36	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	975945	10.5	main	z	37	square	local	RVF	yes	present	1	1714
63d41641e3864dede6329c16	978915	10.5	main	z	38	square	local	LVF	yes	present	1	1797
63d41641e3864dede6329c16	982117	10.5	main	z	39	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	984742	10.5	main	z	40	rectangle	global	LVF	yes	present	1	1036
63d41641e3864dede6329c16	987490	10.5	main	z	41	rectangle	global	LVF	yes	present	1	1555
63d41641e3864dede6329c16	989823	10.5	main	z	42	rectangle	global	LVF	yes	present	1	1193
63d41641e3864dede6329c16	992940	10.5	main	z	43	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	995812	10.5	main	z	44	square	local	LVF	yes	present	1	1174
63d41641e3864dede6329c16	999040	10.5	main	z	45	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1002986	10.5	main	z	46	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1005984	10.5	main	z	47	rectangle	global	RVF	yes	present	1	1198
63d41641e3864dede6329c16	1008426	10.5	main	z	48	rectangle	global	RVF	yes	present	1	1048
63d41641e3864dede6329c16	1010860	10.5	main	z	49	rectangle	global	LVF	yes	present	1	1131
63d41641e3864dede6329c16	1014049	10.5	main	z	50	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1016730	10.5	main	z	51	absent	absent	absent	no	present	0	909
63d41641e3864dede6329c16	1019921	10.5	main	z	52	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1023119	10.5	main	z	53	square	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1026289	10.5	main	z	54	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1029543	10.5	main	z	55	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1033045	10.5	main	z	56	square	global	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1036360	10.5	main	z	57	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1040008	10.5	main	z	58	square	global	RVF	yes	present	1	1342
63d41641e3864dede6329c16	1043484	10.5	main	z	59	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1046354	10.5	main	z	60	square	local	LVF	yes	present	1	1390
63d41641e3864dede6329c16	1049427	10.5	main	z	61	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1053004	10.5	main	z	62	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1055280	10.5	main	z	63	square	global	LVF	yes	present	1	932
63d41641e3864dede6329c16	1059667	10.5	main	z	64	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1063119	10.5	main	z	65	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1065869	10.5	main	z	66	square	global	RVF	yes	present	1	1191
63d41641e3864dede6329c16	1069069	10.5	main	z	67	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1072477	10.5	main	z	68	square	global	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1075894	10.5	main	z	69	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1079393	10.5	main	z	70	square	global	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1082724	10.5	main	z	71	rectangle	global	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1085904	10.5	main	z	72	rectangle	global	RVF	yes	present	1	1629
63d41641e3864dede6329c16	1088158	10.5	main	z	73	square	local	LVF	yes	present	1	1228
63d41641e3864dede6329c16	1090434	10.5	main	z	74	square	global	RVF	yes	present	1	1232
63d41641e3864dede6329c16	1093444	10.5	main	z	75	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1095765	10.5	main	z	76	rectangle	global	LVF	yes	present	1	900
63d41641e3864dede6329c16	1098928	10.5	main	z	77	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1102788	10.5	main	z	78	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1106128	10.5	main	z	79	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1108805	10.5	main	z	80	square	global	RVF	yes	present	1	1043
63d41641e3864dede6329c16	1138784	11.5	practice	slash	1	absent	absent	absent	no	present	0	1056
63d41641e3864dede6329c16	1143436	11.5	practice	slash	2	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1148789	11.5	practice	slash	3	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1153603	11.5	practice	slash	4	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1156931	11.5	practice	slash	5	square	global	LVF	yes	present	1	855
63d41641e3864dede6329c16	1159819	11.5	practice	slash	6	rectangle	global	RVF	yes	present	1	1019
63d41641e3864dede6329c16	1163122	11.5	practice	slash	7	rectangle	global	LVF	yes	present	1	919
63d41641e3864dede6329c16	1166721	11.5	practice	slash	8	square	global	RVF	yes	present	1	1052
63d41641e3864dede6329c16	1170855	11.5	practice	slash	9	rectangle	global	LVF	yes	present	1	914
63d41641e3864dede6329c16	1174378	11.5	practice	slash	10	rectangle	global	RVF	yes	present	1	1151
63d41641e3864dede6329c16	1179851	11.5	practice	slash	11	square	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1184550	11.5	practice	slash	12	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1188254	11.5	practice	slash	13	rectangle	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1191502	11.5	practice	slash	14	square	global	LVF	yes	present	1	929
63d41641e3864dede6329c16	1195754	11.5	practice	slash	15	square	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1200197	11.5	practice	slash	16	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1205525	12.5	main	slash	1	rectangle	global	LVF	yes	present	1	920
63d41641e3864dede6329c16	1208510	12.5	main	slash	2	square	local	RVF	yes	absent	0	2000
63d41641e3864dede6329c16	1210623	12.5	main	slash	3	rectangle	global	RVF	yes	present	1	805
63d41641e3864dede6329c16	1213626	12.5	main	slash	4	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1215996	12.5	main	slash	5	square	local	LVF	yes	present	1	973
63d41641e3864dede6329c16	1219011	12.5	main	slash	6	rectangle	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1222376	12.5	main	slash	7	square	local	LVF	yes	absent	0	2000
63d41641e3864dede6329c16	1225465	12.5	main	slash	8	square	local	RVF	yes	present	1	1605
63d41641e3864dede6329c16	1228416	12.5	main	slash	9	absent	absent	absent	no	absent	1	2000
63d41641e3864dede6329c16	1231849	12.5	main	slash	10	absent	absent	absent	no	absent	1	2000
