subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63e6dfd8bb1c10a44d13d7e5	657978	9.5	practice	slash	1	square	global	LVF	yes	present	1	1797
63e6dfd8bb1c10a44d13d7e5	662108	9.5	practice	slash	2	rectangle	global	LVF	yes	present	1	814
63e6dfd8bb1c10a44d13d7e5	667078	9.5	practice	slash	3	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	672111	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	675305	9.5	practice	slash	5	rectangle	local	RVF	yes	present	1	744
63e6dfd8bb1c10a44d13d7e5	678535	9.5	practice	slash	6	square	global	RVF	yes	present	1	808
63e6dfd8bb1c10a44d13d7e5	682828	9.5	practice	slash	7	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	686134	9.5	practice	slash	8	square	local	LVF	yes	present	1	1073
63e6dfd8bb1c10a44d13d7e5	689109	9.5	practice	slash	9	square	global	LVF	yes	present	1	716
63e6dfd8bb1c10a44d13d7e5	693394	9.5	practice	slash	10	square	local	LVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	696678	9.5	practice	slash	11	rectangle	global	LVF	yes	present	1	883
63e6dfd8bb1c10a44d13d7e5	700811	9.5	practice	slash	12	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	703792	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	864
63e6dfd8bb1c10a44d13d7e5	707473	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	1112
63e6dfd8bb1c10a44d13d7e5	710761	9.5	practice	slash	15	rectangle	local	RVF	yes	present	1	1066
63e6dfd8bb1c10a44d13d7e5	713691	9.5	practice	slash	16	rectangle	global	RVF	yes	present	1	713
63e6dfd8bb1c10a44d13d7e5	723687	10.5	main	slash	1	rectangle	local	LVF	yes	present	1	1143
63e6dfd8bb1c10a44d13d7e5	727360	10.5	main	slash	2	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	730693	10.5	main	slash	3	rectangle	local	LVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	732657	10.5	main	slash	4	rectangle	global	LVF	yes	present	1	547
63e6dfd8bb1c10a44d13d7e5	736829	10.5	main	slash	5	rectangle	local	RVF	yes	present	1	1949
63e6dfd8bb1c10a44d13d7e5	740460	10.5	main	slash	6	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	742830	10.5	main	slash	7	rectangle	global	LVF	yes	present	1	703
63e6dfd8bb1c10a44d13d7e5	745444	10.5	main	slash	8	square	global	RVF	yes	present	1	900
63e6dfd8bb1c10a44d13d7e5	748049	10.5	main	slash	9	square	global	LVF	yes	present	1	573
63e6dfd8bb1c10a44d13d7e5	750688	10.5	main	slash	10	square	local	LVF	yes	present	1	895
63e6dfd8bb1c10a44d13d7e5	752790	10.5	main	slash	11	square	global	RVF	yes	present	1	679
63e6dfd8bb1c10a44d13d7e5	755425	10.5	main	slash	12	absent	absent	absent	no	present	0	1198
63e6dfd8bb1c10a44d13d7e5	757665	10.5	main	slash	13	rectangle	local	RVF	yes	present	1	1038
63e6dfd8bb1c10a44d13d7e5	761043	10.5	main	slash	14	square	local	LVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	763199	10.5	main	slash	15	square	global	RVF	yes	present	1	706
63e6dfd8bb1c10a44d13d7e5	765303	10.5	main	slash	16	square	local	RVF	yes	present	1	877
63e6dfd8bb1c10a44d13d7e5	767449	10.5	main	slash	17	rectangle	global	LVF	yes	present	1	1023
63e6dfd8bb1c10a44d13d7e5	770511	10.5	main	slash	18	rectangle	local	LVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	772606	10.5	main	slash	19	square	local	RVF	yes	present	1	812
63e6dfd8bb1c10a44d13d7e5	774640	10.5	main	slash	20	square	global	LVF	yes	present	1	813
63e6dfd8bb1c10a44d13d7e5	777810	10.5	main	slash	21	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	782377	10.5	main	slash	22	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	784355	10.5	main	slash	23	square	local	RVF	yes	present	1	779
63e6dfd8bb1c10a44d13d7e5	786788	10.5	main	slash	24	absent	absent	absent	no	present	0	1344
63e6dfd8bb1c10a44d13d7e5	789082	10.5	main	slash	25	rectangle	global	RVF	yes	present	1	1189
63e6dfd8bb1c10a44d13d7e5	791191	10.5	main	slash	26	rectangle	local	RVF	yes	present	1	947
63e6dfd8bb1c10a44d13d7e5	793296	10.5	main	slash	27	square	local	RVF	yes	present	1	1119
63e6dfd8bb1c10a44d13d7e5	796377	10.5	main	slash	28	square	global	RVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	799056	10.5	main	slash	29	rectangle	local	RVF	yes	present	1	763
63e6dfd8bb1c10a44d13d7e5	801143	10.5	main	slash	30	square	local	LVF	yes	present	1	982
63e6dfd8bb1c10a44d13d7e5	804193	10.5	main	slash	31	rectangle	global	RVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	806343	10.5	main	slash	32	rectangle	global	RVF	yes	present	1	817
63e6dfd8bb1c10a44d13d7e5	808772	10.5	main	slash	33	square	local	LVF	yes	present	1	1395
63e6dfd8bb1c10a44d13d7e5	811726	10.5	main	slash	34	rectangle	global	LVF	yes	present	1	1797
63e6dfd8bb1c10a44d13d7e5	814046	10.5	main	slash	35	rectangle	local	LVF	yes	present	1	970
63e6dfd8bb1c10a44d13d7e5	816042	10.5	main	slash	36	rectangle	global	RVF	yes	present	1	883
63e6dfd8bb1c10a44d13d7e5	819093	10.5	main	slash	37	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	821161	10.5	main	slash	38	square	global	LVF	yes	present	1	734
63e6dfd8bb1c10a44d13d7e5	822843	10.5	main	slash	39	square	global	LVF	yes	present	1	683
63e6dfd8bb1c10a44d13d7e5	825877	10.5	main	slash	40	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	828772	10.5	main	slash	41	rectangle	local	RVF	yes	present	1	779
63e6dfd8bb1c10a44d13d7e5	831876	10.5	main	slash	42	rectangle	local	RVF	yes	absent	0	2000
63e6dfd8bb1c10a44d13d7e5	834105	10.5	main	slash	43	rectangle	global	LVF	yes	present	1	429
63e6dfd8bb1c10a44d13d7e5	837110	10.5	main	slash	44	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	839198	10.5	main	slash	45	square	local	RVF	yes	present	1	505
63e6dfd8bb1c10a44d13d7e5	842376	10.5	main	slash	46	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	844114	10.5	main	slash	47	rectangle	global	LVF	yes	present	1	504
63e6dfd8bb1c10a44d13d7e5	845739	10.5	main	slash	48	rectangle	global	RVF	yes	present	1	595
63e6dfd8bb1c10a44d13d7e5	847757	10.5	main	slash	49	rectangle	local	RVF	yes	present	1	1014
63e6dfd8bb1c10a44d13d7e5	849275	10.5	main	slash	50	rectangle	local	RVF	yes	present	1	632
63e6dfd8bb1c10a44d13d7e5	850851	10.5	main	slash	51	square	local	RVF	yes	present	1	707
63e6dfd8bb1c10a44d13d7e5	853490	10.5	main	slash	52	rectangle	global	RVF	yes	present	1	1728
63e6dfd8bb1c10a44d13d7e5	855206	10.5	main	slash	53	rectangle	global	RVF	yes	present	1	546
63e6dfd8bb1c10a44d13d7e5	858145	10.5	main	slash	54	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	860844	10.5	main	slash	55	square	local	RVF	yes	present	1	483
63e6dfd8bb1c10a44d13d7e5	862542	10.5	main	slash	56	square	local	LVF	yes	present	1	765
63e6dfd8bb1c10a44d13d7e5	864418	10.5	main	slash	57	rectangle	local	LVF	yes	present	1	874
63e6dfd8bb1c10a44d13d7e5	865949	10.5	main	slash	58	square	local	LVF	yes	present	1	523
63e6dfd8bb1c10a44d13d7e5	867968	10.5	main	slash	59	square	global	LVF	yes	present	1	1025
63e6dfd8bb1c10a44d13d7e5	869511	10.5	main	slash	60	square	global	RVF	yes	present	1	584
63e6dfd8bb1c10a44d13d7e5	872426	10.5	main	slash	61	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	874507	10.5	main	slash	62	square	local	RVF	yes	present	1	746
63e6dfd8bb1c10a44d13d7e5	876245	10.5	main	slash	63	rectangle	local	LVF	yes	present	1	885
63e6dfd8bb1c10a44d13d7e5	879210	10.5	main	slash	64	absent	absent	absent	no	absent	1	2000
63e6dfd8bb1c10a44d13d7e5	881224	10.5	main	slash	65	square	global	LVF	yes	present	1	630
63e6dfd8bb1c10a44d13d7e5	883039	10.5	main	slash	66	square	global	LVF	yes	present	1	862
