subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
640785ce903930be7597e7c1	247235	1	practice	z	1	square	global	RVF	yes	present	1	1274
640785ce903930be7597e7c1	251085	1	practice	z	2	rectangle	local	RVF	yes	present	1	1190
640785ce903930be7597e7c1	255851	1	practice	z	3	square	local	LVF	yes	absent	0	2000
640785ce903930be7597e7c1	259419	1	practice	z	4	rectangle	global	RVF	yes	present	1	1080
640785ce903930be7597e7c1	263941	1	practice	z	5	absent	absent	absent	no	absent	1	2000
640785ce903930be7597e7c1	267333	1	practice	z	6	square	global	LVF	yes	present	1	1003
640785ce903930be7597e7c1	271815	1	practice	z	7	square	local	LVF	yes	absent	0	2000
640785ce903930be7597e7c1	275970	1	practice	z	8	absent	absent	absent	no	absent	1	2000
640785ce903930be7597e7c1	280191	1	practice	z	9	absent	absent	absent	no	absent	1	2000
640785ce903930be7597e7c1	284311	1	practice	z	10	absent	absent	absent	no	absent	1	2000
640785ce903930be7597e7c1	287807	1	practice	z	11	rectangle	global	LVF	yes	present	1	1192
640785ce903930be7597e7c1	291211	1	practice	z	12	rectangle	global	LVF	yes	present	1	1092
640785ce903930be7597e7c1	294643	1	practice	z	13	rectangle	local	RVF	yes	present	1	1088
640785ce903930be7597e7c1	297902	1	practice	z	14	rectangle	global	RVF	yes	present	1	1059
640785ce903930be7597e7c1	301553	1	practice	z	15	square	global	LVF	yes	present	1	1341
640785ce903930be7597e7c1	304945	1	practice	z	16	rectangle	local	RVF	yes	present	1	1161
640785ce903930be7597e7c1	319202	2	main	z	1	square	global	LVF	yes	present	1	957
640785ce903930be7597e7c1	323607	2	main	z	2	square	local	LVF	yes	present	1	1625
640785ce903930be7597e7c1	326251	2	main	z	3	rectangle	local	RVF	yes	present	1	1181
640785ce903930be7597e7c1	329588	2	main	z	4	absent	absent	absent	no	absent	1	2000
640785ce903930be7597e7c1	332042	2	main	z	5	rectangle	local	RVF	yes	present	1	1067
640785ce903930be7597e7c1	334777	2	main	z	6	square	local	RVF	yes	present	1	1150
640785ce903930be7597e7c1	337356	2	main	z	7	square	local	RVF	yes	present	1	1110
640785ce903930be7597e7c1	339791	2	main	z	8	square	local	RVF	yes	present	1	1075
